formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3059.8,0,0,0,0,-30.3,0,-3022.5,-7,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,2412,0,0.4,0,0,0,0,-2412.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,31965.2,1413.9,0,-477.7,-3838.5,-1675.3,-521.7,0,0,-24965.5,0,0,0,0,0,-1900.4,0,0,0,0,0,0
Petroleo,43078.7,1132.1,22,-17312.4,0,0,88.3,0,0,0,-26977.5,0,0,0,0,-31.2,0,0,0,0,0,0
Carbon Mineral,146.7,634,40.6,0,0,0,-20.9,-216.7,-32.7,0,0,0,-531.3,0,0,-10.4,0,0,0,0,0,-9.4
Leña,601.7,0,0,0,0,0,0.6,0,-36,0,0,0,0,-338.1,0,0,0,-181.9,0,0,0,-46.3
Bagazo,784,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,-753
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,466.8,0,0,0,0,0,0,0,-32.9,0,0,0,0,0,0,0,0,0,0,0,0,-433.9
Electricidad,0,470.1,0,-23.8,0,-998.6,0,5828.8,403,0,0,0,0,0,0,-227.4,0,-1592.2,-1226.9,-37.5,-46,-2549.4
Gas Distribuido,0,0,0,-105.4,0,-963.7,0,-7152.1,-510.3,22882.1,0,0,0,0,0,-609.8,0,-5033.1,-1027.5,-1052.4,0,-6427.6
Gas De Refineria,0,0,0,0,0,0,-101.4,0,-36,0,714.8,0,0,0,0,-577.4,0,0,0,0,0,0
Gas Licuado,0,0,0.3,-631,0,0,-88.7,0,0,1287.6,915,0,0,0,0,-1.1,-131.1,-956.3,-165.2,0,-72.9,-156.5
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-66.3,0,0,0,0,0,150.5,0,0,0,0,0,0,-84.2,0,0,0,0,0
Otras Naftas,0,67.9,0,-838.3,0,0,0,0,0,0,1535.7,0,0,0,0,0,-765.3,0,0,0,0,0
Motonaftas,0,0,-40.4,-1170.9,0,0,0,0,0,0,5882.7,0,0,0,0,0,0,0,0,-4671.5,0,0
Kerosene,0,192.8,-12,-859.3,0,0,0,0,0,0,1348,0,0,0,0,0,0,-232.1,0,-437.3,0,0
Gasoil,0,710,-111.7,-1587.2,0,0,0,-105.5,-23.5,0,10422.4,0,0,0,0,-58.6,0,0,-184.9,-6102.3,-2773.8,-184.9
Fueloil,0,0,-24.9,-405.1,0,0,507.4,-363.3,-141.7,0,1576.4,0,0,0,0,-510.8,0,0,-63.8,-63.8,-95.7,-414.6
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,95,-2,-380,0,0,-200,0,0,645.3,837.4,0,15.9,0,445.6,0,-1457.3,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-46.6,0,0,0,79.7,0,0,-33.1,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-157.6,0,0,0,0,0,474.7,-317.1,0,0,0,0,0,0
Coque De Carbon,0,0,97.5,-284.7,0,0,-86.4,0,0,0,1042.6,0,398.4,0,-968.8,0,-198.7,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,206.3,-49.5,0,0,-94.1,-62.7,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,7443.7,652.4,0,2702.6,0,37.2,131.9,97.9,0,0,0,0,0,0,0
