ano,forma_de_energia,concepto,ktep_redond
1960,Hidraulica,Oferta,99.7
1961,Hidraulica,Oferta,116.5
1962,Hidraulica,Oferta,125.5
1963,Hidraulica,Oferta,126.2
1964,Hidraulica,Oferta,133.4
1965,Hidraulica,Oferta,131.7
1966,Hidraulica,Oferta,133.4
1967,Hidraulica,Oferta,136.6
1968,Hidraulica,Oferta,161
1969,Hidraulica,Oferta,144.4
1970,Hidraulica,Oferta,167.4
1971,Hidraulica,Oferta,166.2
1972,Hidraulica,Oferta,161.5
1973,Hidraulica,Oferta,322.2
1974,Hidraulica,Oferta,536.9
1975,Hidraulica,Oferta,558.4
1976,Hidraulica,Oferta,539.1
1977,Hidraulica,Oferta,619.9
1978,Hidraulica,Oferta,832.8
1979,Hidraulica,Oferta,1145.6
1980,Hidraulica,Oferta,1627.6
1981,Hidraulica,Oferta,1578.6
1982,Hidraulica,Oferta,1891.2
1983,Hidraulica,Oferta,1980
1984,Hidraulica,Oferta,2136.9
1985,Hidraulica,Oferta,2220.2
1986,Hidraulica,Oferta,2260.8
1987,Hidraulica,Oferta,2355.6
1988,Hidraulica,Oferta,1643.7
1989,Hidraulica,Oferta,1431.2
1990,Hidraulica,Oferta,1949.7
1991,Hidraulica,Oferta,1768.9
1992,Hidraulica,Oferta,2107.7
1993,Hidraulica,Oferta,2596.7
1994,Hidraulica,Oferta,2973.8
1995,Hidraulica,Oferta,2901.5
1996,Hidraulica,Oferta,2470.5
1997,Hidraulica,Oferta,3029.5
1998,Hidraulica,Oferta,2859.1
1999,Hidraulica,Oferta,2329.8
2000,Hidraulica,Oferta,3099.9
2001,Hidraulica,Oferta,3982
2002,Hidraulica,Oferta,3858.2
2003,Hidraulica,Oferta,3637.8
2004,Hidraulica,Oferta,3281.5
2005,Hidraulica,Oferta,3683.3
2006,Hidraulica,Oferta,4101.9
2007,Hidraulica,Oferta,3402.6
2008,Hidraulica,Oferta,3391.1
2009,Hidraulica,Oferta,3782.3
2010,Hidraulica,Oferta,3644
2011,Hidraulica,Oferta,3429.5
2012,Hidraulica,Oferta,3194.4
2013,Hidraulica,Oferta,3583.2
2014,Hidraulica,Oferta,3562.1
2015,Hidraulica,Oferta,3529.7
1960,Hidraulica,Transformacion,-99.7
1961,Hidraulica,Transformacion,-116.5
1962,Hidraulica,Transformacion,-125.5
1963,Hidraulica,Transformacion,-126.2
1964,Hidraulica,Transformacion,-133.4
1965,Hidraulica,Transformacion,-131.7
1966,Hidraulica,Transformacion,-133.4
1967,Hidraulica,Transformacion,-136.6
1968,Hidraulica,Transformacion,-161
1969,Hidraulica,Transformacion,-144.4
1970,Hidraulica,Transformacion,-167.4
1971,Hidraulica,Transformacion,-166.2
1972,Hidraulica,Transformacion,-161.5
1973,Hidraulica,Transformacion,-322.2
1974,Hidraulica,Transformacion,-536.9
1975,Hidraulica,Transformacion,-558.4
1976,Hidraulica,Transformacion,-539.1
1977,Hidraulica,Transformacion,-619.9
1978,Hidraulica,Transformacion,-832.8
1979,Hidraulica,Transformacion,-1145.6
1980,Hidraulica,Transformacion,-1627.6
1981,Hidraulica,Transformacion,-1578.6
1982,Hidraulica,Transformacion,-1891.2
1983,Hidraulica,Transformacion,-1980
1984,Hidraulica,Transformacion,-2136.9
1985,Hidraulica,Transformacion,-2220.2
1986,Hidraulica,Transformacion,-2260.8
1987,Hidraulica,Transformacion,-2355.6
1988,Hidraulica,Transformacion,-1643.7
1989,Hidraulica,Transformacion,-1431.2
1990,Hidraulica,Transformacion,-1949.7
1991,Hidraulica,Transformacion,-1768.9
1992,Hidraulica,Transformacion,-2107.7
1993,Hidraulica,Transformacion,-2596.7
1994,Hidraulica,Transformacion,-2973.8
1995,Hidraulica,Transformacion,-2901.5
1996,Hidraulica,Transformacion,-2470.5
1997,Hidraulica,Transformacion,-3029.5
1998,Hidraulica,Transformacion,-2859.1
1999,Hidraulica,Transformacion,-2329.8
2000,Hidraulica,Transformacion,-3099.9
2001,Hidraulica,Transformacion,-3982
2002,Hidraulica,Transformacion,-3858.2
2003,Hidraulica,Transformacion,-3637.8
2004,Hidraulica,Transformacion,-3281.5
2005,Hidraulica,Transformacion,-3683.3
2006,Hidraulica,Transformacion,-4101.9
2007,Hidraulica,Transformacion,-3402.6
2008,Hidraulica,Transformacion,-3391.1
2009,Hidraulica,Transformacion,-3782.3
2010,Hidraulica,Transformacion,-3644
2011,Hidraulica,Transformacion,-3429.5
2012,Hidraulica,Transformacion,-3194.4
2013,Hidraulica,Transformacion,-3583.2
2014,Hidraulica,Transformacion,-3562.1
2015,Hidraulica,Transformacion,-3529.7
1960,Hidraulica,Consumo,0
1961,Hidraulica,Consumo,0
1962,Hidraulica,Consumo,0
1963,Hidraulica,Consumo,0
1964,Hidraulica,Consumo,0
1965,Hidraulica,Consumo,0
1966,Hidraulica,Consumo,0
1967,Hidraulica,Consumo,0
1968,Hidraulica,Consumo,0
1969,Hidraulica,Consumo,0
1970,Hidraulica,Consumo,0
1971,Hidraulica,Consumo,0
