id_cod_pais,id_ nom_pais,año,mes,id_uni_med,id_nom_med,grande,grande no integrada,mediana,pequeña
32,Argentina,2014,Enero,t,toneladas,86639,3545,44409,5879
32,Argentina,2014,Febrero,t,toneladas,100526,7885,21999,2179
32,Argentina,2014,Marzo,t,toneladas,81779,963,36880,1572
32,Argentina,2014,Abril,t,toneladas,74163,20169,45902,2236
32,Argentina,2014,Mayo,t,toneladas,144216,22853,57941,4292
32,Argentina,2014,Junio,t,toneladas,162749,28387,53339,5569
32,Argentina,2014,Julio,t,toneladas,178544,31875,58220,6428
32,Argentina,2014,Agosto,t,toneladas,179160,34123,58260,6780
32,Argentina,2014,Septiembre,t,toneladas,185129,38722,62628,8922
32,Argentina,2014,Octubre,t,toneladas,185020,54705,60493,8679
32,Argentina,2014,Noviembre,t,toneladas,153049,23556,59273,7577
32,Argentina,2014,Diciembre,t,toneladas,81296,21435,57741,6604
32,Argentina,2015,Enero,t,toneladas,50957,17577,60040,5861
32,Argentina,2015,Febrero,t,toneladas,20852,14419,56874,6921
32,Argentina,2015,Marzo,t,toneladas,15826,13904,60065,6879
32,Argentina,2015,Abril,t,toneladas,37109,22298,62309,6723
32,Argentina,2015,Mayo,t,toneladas,54150,22666,49210,5200
32,Argentina,2015,Junio,t,toneladas,110194,12710,62126,5415
32,Argentina,2015,Julio,t,toneladas,80015,27919,62816,6016
32,Argentina,2015,Agosto,t,toneladas,122941,18826,60729,5997
32,Argentina,2015,Septiembre,t,toneladas,98747,17454,60238,6432
32,Argentina,2015,Octubre,t,toneladas,105285,26041,61240,7114
32,Argentina,2015,Noviembre,t,toneladas,103175,21331,53551,4703
32,Argentina,2015,Diciembre,t,toneladas,70390,2012,6859,544
32,Argentina,2016,Enero,t,toneladas,68342,0,32896,1443
32,Argentina,2016,Febrero,t,toneladas,75564,16280,53410,5847
32,Argentina,2016,Marzo,t,toneladas,66466,14506,58107,6971
32,Argentina,2016,Abril,t,toneladas,109728,15504,59187,6989
32,Argentina,2016,Mayo,t,toneladas,160188,27848,56577,6922
32,Argentina,2016,Junio,t,toneladas,142670,51155,59767,8182
32,Argentina,2016,Julio,t,toneladas,146718,38911,54617,8402
32,Argentina,2016,Agosto,t,toneladas,170991,46077,60241,8077
32,Argentina,2016,Septiembre,t,toneladas,166923,55896,61866,7854
32,Argentina,2016,Octubre,t,toneladas,179877,46198,60234,7473
32,Argentina,2016,Noviembre,t,toneladas,173533,43417,55632,8325
32,Argentina,2016,Diciembre,t,toneladas,48465,40284,55870,8458
32,Argentina,2017,Enero,t,toneladas,89034,33443,58473,8812
32,Argentina,2017,Febrero,t,toneladas,75651,16265,62167,8118
32,Argentina,2017,Marzo,t,toneladas,93983,8798,60802,8638
32,Argentina,2017,Abril,t,toneladas,142683,36233,64418,6098
32,Argentina,2017,Mayo,t,toneladas,175488,44012,68880,8443
32,Argentina,2017,Junio,t,toneladas,171986,30860,71481,8388
32,Argentina,2017,Julio,t,toneladas,154897,37059,72172,8856
32,Argentina,2017,Agosto,t,toneladas,76355,16076,68355,9098
32,Argentina,2017,Septiembre,t,toneladas,121899,11980,70991,9101
32,Argentina,2017,Octubre,t,toneladas,183292,27520,72861,9422
32,Argentina,2017,Noviembre,t,toneladas,179197,42488,71363,9570
32,Argentina,2017,Diciembre,t,toneladas,146240,40320,70365,8802
32,Argentina,2018,Enero,t,toneladas,141597,25172,69038,8321
32,Argentina,2018,Febrero,t,toneladas,78818,4359,66293,7536
32,Argentina,2018,Marzo,t,toneladas,85783,13480,69979,8697
32,Argentina,2018,Abril,t,toneladas,112072,31807,73773,8773
32,Argentina,2018,Mayo,t,toneladas,166472,46073,69278,8611
32,Argentina,2018,Junio,t,toneladas,148178,40957,68960,7331
32,Argentina,2018,Julio,t,toneladas,142064,41682,68784,7521
32,Argentina,2018,Agosto,t,toneladas,37688,23093,67486,6582
32,Argentina,2018,Septiembre,t,toneladas,84994,16120,67213,5758
32,Argentina,2018,Octubre,t,toneladas,49820,8714,67701,6215
32,Argentina,2018,Noviembre,t,toneladas,140291,42229,71142,5975
32,Argentina,2018,Diciembre,t,toneladas,18591,13504,68483,5986
32,Argentina,2019,Enero,t,toneladas,3837,5189,66807,7655
32,Argentina,2019,Febrero,t,toneladas,20993,2603,62911,6630
32,Argentina,2019,Marzo,t,toneladas,111721,14721,66565,5830
32,Argentina,2019,Abril,t,toneladas,159186,45615,63498,6673
32,Argentina,2019,Mayo,t,toneladas,159112,34748,71789,7512
