indice_tiempo,cania_de_azucar,maiz
2017-01,37794,46551
2017-02,35607,44489
2017-03,38696,44100
2017-04,35355,45218
2017-05,44053,40222
2017-06,51159,41800
2017-07,53924,43396
2017-08,55711,48852
2017-09,55345,47483
2017-10,60415,50850
2017-11,48724,47841
2017-12,36361,51160
2018-01,33251,50443
2018-02,35328,45593
2018-03,17968,49519
2018-04,24522,50537
2018-05,38336,49606
2018-06,57254,49484
2018-07,60456,46815
2018-08,59362,47953
2018-09,59862,46146
2018-10,54597,48608
2018-11,49554,48981
2018-12,37673,51933
2019-01,30505,39815
2019-02,26711,41685
2019-03,28898,47939
2019-04,17289,49952
2019-05,37316,47848
