indice_tiempo,al_corte,otros
2017-01,100122,17
2017-02,89024,29
2017-03,84028,19
2017-04,91805,28
2017-05,94494,0
2017-06,104724,0
2017-07,96979,0
2017-08,102131,27
2017-09,94092,3
2017-10,107861,29
2017-11,102110,58
2017-12,105924,28
2018-01,82482,60
2018-02,83839,30
2018-03,93997,30
2018-04,105105,30
2018-05,89504,58
2018-06,87048,0
2018-07,93542,0
2018-08,92877,41
2018-09,101676,184
2018-10,84475,406
2018-11,94142,115
2018-12,89773,479
2019-01,84565,582
2019-02,77194,942
2019-03,92736,1525
