id_pais,nom_pais,año,mes,cod_unimed,nom_unimed,al corte,otros,total
32,Argentina,2017,Enero,t,toneladas,100122,17,100139
32,Argentina,2017,Febrero,t,toneladas,89024,29,89053
32,Argentina,2017,Marzo,t,toneladas,84028,19,84047
32,Argentina,2017,Abril,t,toneladas,91805,28,91833
32,Argentina,2017,Mayo,t,toneladas,94494,0,94494
32,Argentina,2017,Junio,t,toneladas,104724,0,104724
32,Argentina,2017,Julio,t,toneladas,96979,0,96979
32,Argentina,2017,Agosto,t,toneladas,102131,27,102158
32,Argentina,2017,Septiembre,t,toneladas,94092,3,94095
32,Argentina,2017,Octubre,t,toneladas,107861,29,107889
32,Argentina,2017,Noviembre,t,toneladas,102110,58,102168
32,Argentina,2017,Diciembre,t,toneladas,105924,28,105952
32,Argentina,2018,Enero,t,toneladas,82482,60,82541
32,Argentina,2018,Febrero,t,toneladas,83839,30,83868
32,Argentina,2018,Marzo,t,toneladas,93997,30,94027
32,Argentina,2018,Abril,t,toneladas,105105,30,105135
32,Argentina,2018,Mayo,t,toneladas,89504,58,89562
32,Argentina,2018,Junio,t,toneladas,87048,0,87048
32,Argentina,2018,Julio,t,toneladas,93542,0,93542
32,Argentina,2018,Agosto,t,toneladas,92877,41,92918
32,Argentina,2018,Septiembre,t,toneladas,101676,184,101860
32,Argentina,2018,Octubre,t,toneladas,84475,406,84881
32,Argentina,2018,Noviembre,t,toneladas,94142,115,94257
32,Argentina,2018,Diciembre,t,toneladas,89773,479,90252
32,Argentina,2019,Enero,t,toneladas,84565,582,85147
32,Argentina,2019,Febrero,t,toneladas,77194,942,78136
32,Argentina,2019,Marzo,t,toneladas,92736,1525,94261
32,Argentina,2019,Abril,t,toneladas,96413,2042,98455
32,Argentina,2019,Mayo,t,toneladas,91415,4169,95584
