indice_tiempo,cania_azucar,maiz
2017-01,45438,45493
2017-02,41967,42901
2017-03,43996,43479
2017-04,42459,43978
2017-05,40892,43913
2017-06,44062,44093
2017-07,43964,44081
2017-08,45071,45399
2017-09,44750,44625
2017-10,46091,46075
2017-11,44580,49531
2017-12,42862,57178
2018-01,43754,54716
2018-02,43448,45030
2018-03,39766,46509
2018-04,40648,49262
2018-05,37678,49604
2018-06,41731,44874
2018-07,40091,47676
2018-08,44586,46719
2018-09,40209,43295
2018-10,43869,41902
2018-11,41194,44902
2018-12,43938,48468
2019-01,44471,44601
2019-02,42525,43739
2019-03,42741,46077
