PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
ene-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.500 ;6.768 ;3.565 ;298 ;0 ;0 ;0 ;1.366 ;1.901 ;0 ;0 ;0 ;0 ;;
ene-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;300 ;0 ;477 ;0 ;0 ;0 ;0 ;0 ;477 ;0 ;0 ;0 ;0 ;;
ene-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;0 ;654 ;0 ;0 ;0 ;0 ;0 ;654 ;0 ;0 ;0 ;0 ;;
ene-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.200 ;0 ;1.051 ;518 ;534 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
ene-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;4.392 ;4.279 ;504 ;0 ;0 ;0 ;615 ;2.645 ;104 ;410 ;0 ;0 ;;
ene-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.400 ;0 ;1.107 ;0 ;0 ;0 ;0 ;0 ;1.107 ;0 ;0 ;0 ;0 ;;
ene-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;3.000 ;3.933 ;3.571 ;0 ;0 ;0 ;519 ;0 ;2.567 ;0 ;484 ;0 ;0 ;;
ene-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.202 ;1.915 ;1.136 ;0 ;0 ;0 ;518 ;0 ;0 ;262 ;0 ;0 ;;
ene-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;800 ;0 ;772 ;0 ;0 ;0 ;0 ;299 ;473 ;0 ;0 ;0 ;0 ;;
feb-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.500 ;0 ;3.382 ;302 ;0 ;0 ;0 ;1.402 ;1.678 ;0 ;0 ;0 ;0 ;;
feb-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;300 ;0 ;290 ;0 ;0 ;0 ;0 ;0 ;290 ;0 ;0 ;0 ;0 ;;
feb-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;0 ;653 ;0 ;0 ;0 ;0 ;0 ;653 ;0 ;0 ;0 ;0 ;;
feb-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.200 ;0 ;958 ;706 ;252 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
