PER,PROD,VENT
nov-09,858.0,0.0
dic-09,22.439,2.664
ene-10,771.0,6.188
feb-10,4.791,6.718
mar-10,4.445,9.585
abr-10,4.549,8.247
may-10,5.21,7.892
jun-10,12.069,9.279
jul-10,14.575,10.927
ago-10,15.258,11.62
sep-10,17.729,11.201
oct-10,22.145,11.259
nov-10,17.654,12.129
dic-10,5.734,12.761
ene-11,7.775,10.892
feb-11,4.239,10.064
mar-11,4.427,11.329
abr-11,5.938,10.581
may-11,5.081,10.655
jun-11,18.209,12.451
jul-11,21.344,16.544
ago-11,20.285,16.023
sep-11,23.841,16.934
oct-11,23.626,16.848
nov-11,21.336,16.183
dic-11,17.522,16.888
ene-12,17.295,17.391
feb-12,8.261,16.573
mar-12,9.42,18.13
abr-12,8.026,16.447
may-12,9.71,13.945
jun-12,22.395,17.398
jul-12,28.509,18.951
ago-12,24.617,19.189
sep-12,32.106,20.731
oct-12,33.54,25.022
nov-12,28.74,25.572
dic-12,27.87,28.494
ene-13,22.087,32.389
feb-13,18.891,31.533
mar-13,27.122,32.987
abr-13,31.757,33.715
may-13,31.832,37.967
jun-13,40.81,35.142
jul-13,50.613,41.904
ago-13,61.897,44.226
sep-13,49.433,43.414
oct-13,50.063,45.572
nov-13,47.499,47.445
dic-13,40.376,48.458
ene-14,42.428,53.039
feb-14,39.043,49.528
mar-14,41.799,52.301
abr-14,48.837,52.185
may-14,52.703,53.003
jun-14,60.959,52.466
jul-14,59.677,54.936
ago-14,62.947,50.517
sep-14,59.644,52.484
oct-14,72.174,59.996
nov-14,71.396,63.193
dic-14,59.514,69.454
ene-15,53.786,66.577
feb-15,51.625,61.674
mar-15,64.599,68.105
abr-15,60.217,66.346
may-15,54.562,63.256
jun-15,74.464,64.446
jul-15,78.868,66.255
ago-15,72.603,64.203
sep-15,73.144,66.908
oct-15,86.136,69.577
nov-15,73.433,69.122
dic-15,71.97,77.171
ene-16,66.62,74.141
feb-16,65.05,67.947
mar-16,65.05,70.577
abr-16,60.67,66.48
may-16,62.659,64.774
jun-16,60.695,67.444
jul-16,71.659,73.66
ago-16,87.669,79.65
sep-16,92.162,82.436
oct-16,84.946,84.864
nov-16,87.028,85.986
dic-16,85.736,92.932
ene-17,84.345,90.931
feb-17,80.096,84.869
mar-17,82.797,87.474
abr-17,80.573,86.437
may-17,84.275,84.805
jun-17,92.959,88.154
jul-17,97.32,88.044
ago-17,104.563,90.469
sep-17,102.828,89.375
oct-17,111.265,92.166
nov-17,96.565,94.111
dic-17,87.521,100.04
ene-18,83.694,98.469
feb-18,80.921,88.479
mar-18,67.486,86.275
abr-18,75.058,89.91
may-18,87.942,87.281
jun-18,106.737,86.605
jul-18,107.271,87.767
ago-18,107.315,91.305
sep-18,106.009,83.504
oct-18,103.205,85.771
nov-18,98.535,86.095
dic-18,89.606,92.406
ene-19,70.32,89.034
feb-19,68.396,86.265
mar-19,76.837,88.855
abr-19,67.241,84.324
may-19,85.164,89.422
jun-19,94.835,82.123
jul-19,96.383,89.017
ago-19,111.191,86.713
sep-19,109.774,90.39
oct-19,103.183,91.768
nov-19,103.745,88.069
dic-19,86.426,97.438
ene-20,76.799,95.903
feb-20,70.154,87.548
mar-20,68.644,77.687
abr-20,15.882,9.983
may-20,26.088,42.578
jun-20,67.449,55.228
jul-20,84.82,62.066
ago-20,77.826,60.816
sep-20,80.818,62.9
oct-20,69.434,61.297
nov-20,88.776,68.028
dic-20,82.035,80.295
ene-21,60.992,82.804
feb-21,67.133,81.392
mar-21,79.917,88.747
abr-21,68.795,84.076
may-21,60.027,71.512
jun-21,74.127,58.34
jul-21,98.488,78.768
ago-21,102.056,88.75
sep-21,106.134,88.221
oct-21,101.15,87.761
nov-21,101.838,92.378
dic-21,87.4,95.757
ene-22,79.107,91.621
feb-22,75.255,107.321
mar-22,67.347,76.503
abr-22,67.558,77.335
may-22,84.23,87.607
jun-22,108.809,89.788
jul-22,114.001,90.929
ago-22,118.537,96.997
sep-22,119.622,97.303
oct-22,125.168,101.26
nov-22,104.463,101.878
dic-22,94.744,107.617
ene-23,95.217,103.137
feb-23,79.498,92.533
mar-23,79.034,91.473
abr-23,81.746,89.609
may-23,81.191,90.057
jun-23,86.672,89.972
jul-23,110.787,95.775
ago-23,111.211,100.799
sep-23,105.859,100.285
oct-23,108.686,95.455
nov-23,108.14,90.276
dic-23,108.664,97.486
ene-24,102.958,104.191
feb-24,72.548,94.446
mar-24,77.718,88.223
abr-24,73.519,86.923
may-24,95.399,87.326
jun-24 ,116.964,88.795
jul-24 ,121.476,94.298
ago-24 ,123.18,93.129
sep-24 ,118.665,90.041
oct-24 ,113.364,96.877
nov-24 ,93.814,94.986
dic-24 ,97.914,104.795
ene-25 ,99.413,102.244
feb-25 ,89.746,96.808
mar-25 ,94.685,101.596
abr-25 ,88.224,90.9
may-25 ,100.442,102.107
