PER,VENT,PROD
ene-12,0.0,0.0
feb-12,0.0,0.0
mar-12,0.0,0.0
abr-12,0.0,0.0
may-12,0.0,0.0
jun-12,0.0,0.0
jul-12,0.0,0.0
ago-12,0.0,0.0
sep-12,1.937,3.373
oct-12,5.515,5.526
nov-12,4.954,4.801
dic-12,4.989,4.888
ene-13,4.832,4.632
feb-13,4.868,4.268
mar-13,5.167,5.167
abr-13,5.509,5.509
may-13,6.767,7.247
jun-13,7.19,7.51
jul-13,7.205,7.305
ago-13,11.215,18.895
sep-13,12.722,10.177
oct-13,14.747,11.997
nov-13,16.656,14.153
dic-13,17.195,17.72
ene-14,18.342,18.272
feb-14,19.817,19.106
mar-14,18.23,18.512
abr-14,23.11,24.926
may-14,28.934,29.969
jun-14,23.875,26.825
jul-14,24.03,25.017
ago-14,22.466,25.875
sep-14,21.158,19.361
oct-14,24.273,26.571
nov-14,25.584,26.775
dic-14,29.278,22.717
ene-15,27.084,27.503
feb-15,27.67,24.617
mar-15,30.666,32.646
abr-15,27.337,28.427
may-15,30.509,28.648
jun-15,26.833,29.573
jul-15,27.952,28.838
ago-15,27.278,29.258
sep-15,27.603,23.976
oct-15,29.111,34.237
nov-15,29.525,28.497
dic-15,32.099,31.167
