PER,VENT,PROD
ene-12,5.05,4.392
feb-12,4.499,2.513
mar-12,4.986,4.73
abr-12,5.021,3.929
may-12,4.872,3.636
jun-12,4.443,2.77
jul-12,4.806,5.678
ago-12,5.711,7.064
sep-12,4.696,6.066
oct-12,5.351,6.787
nov-12,5.501,6.317
dic-12,6.925,6.727
ene-13,6.961,6.829
feb-13,7.11,5.042
mar-13,7.091,6.115
abr-13,6.663,6.456
may-13,7.503,6.052
jun-13,6.742,7.333
jul-13,7.382,7.45
ago-13,6.782,8.036
sep-13,6.309,8.338
oct-13,5.67,6.337
nov-13,5.555,7.25
dic-13,6.256,3.597
ene-14,7.28,7.477
feb-14,6.277,5.5
mar-14,7.386,5.521
abr-14,6.751,5.837
may-14,4.829,4.023
jun-14,5.397,6.671
jul-14,5.574,6.269
ago-14,4.829,4.587
sep-14,5.029,7.144
oct-14,5.426,7.064
nov-14,5.628,6.555
dic-14,5.901,5.419
ene-15,6.713,6.352
feb-15,5.793,3.637
mar-15,6.423,5.556
abr-15,6.307,7.895
may-15,6.489,4.083
jun-15,5.803,6.036
jul-15,5.747,6.529
ago-15,6.118,6.058
sep-15,6.442,7.258
oct-15,6.411,8.785
nov-15,5.688,5.683
dic-15,5.923,5.401
