PER,VENT,PROD
ene-12,0,0
feb-12,0,0
mar-12,0,0
abr-12,0,0
may-12,0,0
jun-12,0,0
jul-12,0,0
ago-12,0,0
sep-12,0,0
oct-12,0,0
nov-12,0,0
dic-12,0,0
ene-13,0,0
feb-13,0,0
mar-13,0,0
abr-13,0,0
may-13,0,0
jun-13,0,0
jul-13,0,0
ago-13,0,0
sep-13,0,0
oct-13,0,0
nov-13,0,0
dic-13,0,0
ene-14,0,0
feb-14,0,0
mar-14,0,0
abr-14,0,0
may-14,0,0
jun-14,298,826
jul-14,3759,3562
ago-14,3061,4603
sep-14,5130,4063
oct-14,5866,5941
nov-14,6212,6188
dic-14,6106,5701
ene-15,4052,3941
feb-15,4000,4335
mar-15,4299,5418
abr-15,6134,5378
