PER,VENT,PROD
ene-12,8.299,6.135
feb-12,8.401,5.748
mar-12,9.043,4.69
abr-12,7.069,4.097
may-12,5.496,3.664
jun-12,9.146,13.611
jul-12,9.485,15.302
ago-12,9.474,14.832
sep-12,9.211,14.532
oct-12,9.259,12.523
nov-12,10.705,8.607
dic-12,10.813,7.279
ene-13,10.735,6.962
feb-13,9.989,6.09
mar-13,9.506,4.748
abr-13,10.161,7.303
may-13,11.285,9.707
jun-13,11.378,13.224
jul-13,16.657,21.848
ago-13,15.782,20.168
sep-13,14.694,17.912
oct-13,15.479,18.447
nov-13,15.429,15.82
dic-13,16.115,14.204
ene-14,15.593,10.755
feb-14,13.039,8.223
mar-14,14.901,11.774
abr-14,11.614,8.522
may-14,6.94,6.409
jun-14,13.881,17.379
jul-14,13.894,19.16
ago-14,12.68,16.963
sep-14,13.549,18.584
oct-14,15.32,19.685
nov-14,15.721,17.096
dic-14,16.46,14.855
ene-15,17.646,9.607
feb-15,14.009,9.755
mar-15,15.047,11.727
abr-15,16.367,10.467
may-15,13.861,13.262
jun-15,15.69,18.683
jul-15,16.012,22.187
ago-15,14.553,18.609
sep-15,16.38,20.797
oct-15,16.716,20.636
nov-15,16.144,19.386
dic-15,19.159,17.333
ene-16,17.887,14.411
feb-16,16.537,12.464
mar-16,15.802,10.484
abr-16,16.686,12.911
may-16,18.719,15.131
jun-16,19.889,18.097
jul-16,20.112,25.077
ago-16,23.622,27.767
sep-16,23.506,28.333
oct-16,23.218,27.406
nov-16,23.688,27.63
dic-16,26.285,26.15
ene-17,24.647,20.305
feb-17,23.865,16.991
mar-17,24.324,19.207
abr-17,22.894,19.607
may-17,21.797,23.746
jun-17,24.43,25.971
jul-17,27.441,30.17
ago-17,29.068,30.083
sep-17,28.085,32.249
oct-17,27.683,31.759
nov-17,27.274,29.834
dic-17,22.318,26.445
ene-18,22.167,23.912
feb-18,23.373,14.651
mar-18,17.795,7.868
abr-18,16.684,12.024
may-18,18.003,19.537
jun-18,22.326,29.854
jul-18,23.532,32.928
ago-18,26.157,31.897
sep-18,25.36,31.682
oct-18,24.461,30.199
nov-18,24.074,24.32
dic-18,28.753,21.927
ene-19,26.153,21.52
feb-19,23.003,16.234
mar-19,20.58,16.296
abr-19,19.228,9.812
may-19,20.892,18.553
jun-19,20.36,24.46
jul-19,25.275,32.816
ago-19,27.738,38.965
sep-19,29.456,33.886
oct-19,26.534,31.835
nov-19,25.814,26.595
dic-19,24.417,22.916
ene-20,22.955,14.896
feb-20,24.616,17.791
mar-20,21.702,15.083
abr-20,2.694,268.0
may-20,13.984,11.624
jun-20,15.373,21.431
jul-20,17.624,20.936
ago-20,16.307,23.592
sep-20,18.118,21.493
oct-20,21.228,27.821
nov-20,23.011,25.591
dic-20,22.242,18.707
ene-21,22.364,16.61
feb-21,21.282,14.809
mar-21,22.267,23.535
abr-21,20.381,12.383
may-21,16.238,9.781
jun-21,15.784,23.49
jul-21,22.121,27.996
ago-21,23.569,27.798
sep-21,24.574,27.603
oct-21,25.101,30.595
nov-21,25.011,24.292
dic-21,25.114,23.455
ene-22,23.166,22.477
feb-22,36.312,24.436
mar-22,19.788,13.853
abr-22,8.391,1.507
may-22,14.857,14.984
jun-22,22.009,29.956
jul-22,25.552,29.716
ago-22,24.923,29.196
sep-22,25.18,28.839
oct-22,22.053,29.174
nov-22,21.11,19.24
dic-22,20.258,15.303
ene-23,19.702,16.671
feb-23,16.994,11.819
mar-23,15.319,10.139
abr-23,13.104,9.196
may-23,13.738,9.73
jun-23,19.69,20.666
jul-23,20.584,26.051
ago-23,20.913,28.821
sep-23,18.854,24.664
oct-23,18.876,20.916
nov-23,16.116,19.79
dic-23,15.973,13.852
ene-24,18.536,15.746
feb-24,19.572,11.344
mar-24,21.898,14.284
abr-24,21.974,20.11
may-24,19.767,19.053
jun-24,23.581,27.298
jul-24,24.507,27.574
ago-24,25.424,33.663
sep-24,24.677,30.86
oct-24,26.155,26.08
nov-24,25.769,22.715
dic-24,27.049,21.478
ene-25,26.782,24.821
feb-25,25.477,22.972
mar-25,24.444,17.977
abr-25,20.511,18.366
may-25,18.113,16.187
