PER,PROD,VENT
nov-09,858.0,0.0
dic-09,22.439,2.664
ene-10,771.0,6.188
feb-10,4.791,6.718
mar-10,4.445,9.585
abr-10,4.549,8.247
may-10,5.21,7.892
jun-10,12.069,9.279
jul-10,14.575,10.927
ago-10,15.258,11.62
sep-10,17.729,11.201
oct-10,22.145,11.259
nov-10,17.654,12.129
dic-10,5.734,12.761
ene-11,7.775,10.892
feb-11,4.239,10.064
mar-11,4.427,11.329
abr-11,5.938,10.581
may-11,5.081,10.655
jun-11,18.209,12.451
jul-11,21.344,16.544
ago-11,20.285,16.023
sep-11,23.841,16.934
oct-11,23.626,16.848
nov-11,21.336,16.183
dic-11,17.522,16.888
ene-12,17.295,17.391
feb-12,8.261,16.573
mar-12,9.42,18.13
abr-12,8.026,16.447
may-12,9.71,13.945
jun-12,22.395,17.398
jul-12,28.509,18.951
ago-12,24.617,19.189
sep-12,28.733,18.794
oct-12,28.014,19.507
nov-12,23.939,20.618
dic-12,21.07,23.505
ene-13,14.397,23.9
feb-13,11.604,23.256
mar-13,17.209,23.128
abr-13,21.408,23.807
may-13,19.806,25.58
jun-13,28.64,23.794
jul-13,38.155,28.899
ago-13,37.673,27.801
sep-13,34.164,26.031
oct-13,34.112,25.939
nov-13,28.713,25.651
dic-13,18.905,27.823
ene-14,19.58,29.913
feb-14,15.038,24.769
mar-14,17.857,28.863
abr-14,18.358,23.62
may-14,17.671,19.038
jun-14,28.224,23.864
jul-14,26.486,23.294
ago-14,28.904,21.581
sep-14,32.676,22.827
oct-14,35.39,25.719
nov-14,33.741,26.556
dic-14,25.939,28.158
ene-15,17.158,29.568
feb-15,17.571,24.617
mar-15,20.55,26.956
abr-15,21.088,27.752
may-15,18.911,25.402
jun-15,31.681,26.487
jul-15,38.207,26.728
ago-15,32.911,25.622
sep-15,37.753,27.922
oct-15,39.498,28.503
nov-15,32.984,27.402
dic-15,27.832,31.112
ene-16,21.596,29.742
feb-16,24.156,28.157
mar-16,19.112,27.974
abr-16,20.459,27.4
may-16,24.041,30.974
jun-16,28.972,32.669
jul-16,33.973,35.547
ago-16,42.323,36.938
sep-16,48.954,41.324
oct-16,49.363,41.59
nov-16,46.052,42.889
dic-16,41.108,45.162
ene-17,37.794,45.438
feb-17,35.607,41.967
mar-17,38.696,43.996
abr-17,35.355,42.459
may-17,44.053,40.892
jun-17,51.159,44.062
jul-17,53.924,43.964
ago-17,55.711,45.071
sep-17,55.345,44.75
oct-17,60.415,46.091
nov-17,48.724,44.58
dic-17,36.361,42.862
ene-18,33.251,43.754
feb-18,35.328,43.448
mar-18,17.968,39.766
abr-18,24.522,40.648
may-18,38.336,37.678
jun-18,57.254,41.731
jul-18,60.456,40.091
ago-18,59.362,44.586
sep-18,59.862,40.209
oct-18,54.597,43.869
nov-18,49.554,41.194
dic-18,37.673,43.938
ene-19,30.505,44.433
feb-19,26.711,42.525
mar-19,28.898,42.777
abr-19,17.289,40.488
may-19,37.316,44.613
jun-19,50.184,37.972
jul-19,57.666,44.421
ago-19,65.578,42.782
sep-19,61.733,45.617
oct-19,54.095,43.667
nov-19,56.174,42.969
dic-19,33.516,41.833
ene-20,22.384,39.939
feb-20,22.96,42.96
mar-20,20.692,36.937
abr-20,268.0,4.575
may-20,12.021,21.219
jun-20,34.816,26.947
jul-20,43.054,27.645
ago-20,44.6,27.48
sep-20,44.185,30.229
oct-20,46.327,36.591
nov-20,55.906,40.697
dic-20,37.938,39.627
ene-21,21.434,37.474
feb-21,22.841,41.381
mar-21,36.125,43.53
abr-21,22.341,38.452
may-21,19.474,33.086
jun-21,41.518,27.216
jul-21,55.848,40.756
ago-21,54.869,42.016
sep-21,56.933,41.693
oct-21,59.932,43.365
nov-21,51.382,44.524
dic-21,31.433,42.409
ene-22,29.059,40.431
feb-22,30.979,62.501
mar-22,18.026,28.068
abr-22,8.619,21.917
may-22,22.487,28.616
jun-22,50.333,34.815
jul-22,52.905,38.917
ago-22,53.684,40.869
sep-22,55.459,41.079
oct-22,57.9,38.8
nov-22,47.997,40.114
dic-22,28.541,38.498
ene-23,24.477,36.656
feb-23,18.997,34.605
mar-23,12.34,30.45
abr-23,15.304,27.158
may-23,15.876,27.713
jun-23,34.482,31.786
jul-23,43.184,34.393
ago-23,43.568,38.356
sep-23,39.227,37.789
oct-23,44.633,38.263
nov-23,49.447,32.394
dic-23,38.42,31.99
ene-24,33.986,36.953
feb-24,15.599,38.32
mar-24,19.564,42.435
abr-24,21.744,41.151
may-24,32.698,42.283
jun-24 ,52.454,44.336
jul-24 ,59.13,47.005
ago-24 ,64.644,46.54
sep-24 ,59.423,44.944
oct-24 ,54.812,48.249
nov-24 ,36.746,47.36
dic-24 ,27.777,48.662
ene-25 ,33.328,48.073
feb-25 ,28.978,45.401
mar-25 ,25.247,43.812
abr-25 ,26.746,39.52
may-25 ,31.776,40.211
