empresa,cuit_empresa,plantacarga,tipo_planta,direccion,provincia_geo,depto_geo,area_urbana_geo,prod_ult_informe
VICENTÍN S.A.I.C.,30500959629,Vicentin S.A.I.C. - Avellaneda - Santa Fe ,Planta Bioetanol,AV. CIRCUNVALACION 645 ,SANTA FE,General Obligado,,Bioetanol;2024-5
DIASER S.A.,30555549659,DIASER S.A.  - Pque. Ind. Norte - San Luis,Planta de Biodiesel y Bioetanol,CALLE 2 E/104 Y 106 - PARQUE IND. SUR,SAN LUIS,Juan Martín de Pueyrredón,GRAN SAN ROQUE (PCIA. DE CÓRDOBA),Biodiesel;2024-4 / Bioetanol;2024-4
SOYENERGY S.A.,30709951641,Soyenergy S.A. - Villa Astolfi - Pilar - Buenos Aires,Planta Biodiesel,COLAHUE HUAPI S/N E/LA PAMPA Y URUGUAY,BUENOS AIRES,Pilar,GRAN BUENOS AIRES,Biodiesel;2024-4
ADVANCED ORGANIC MATERIALS S.A.,30708288191,Advanced Organic Materials S.A. Pque Ind. Pilar - Pilar - Buenos Aires,Planta Biodiesel,PQUE.IND. PILAR CALLE14 NUM 507,BUENOS AIRES,Pilar,GRAN BUENOS AIRES,Biodiesel;2024-4
RENOVA S.A.,30709590894,Renova S.A. - San Lorenzo - Santa Fe ,Planta Biodiesel,RUTA 12 KM 64,SANTA FE,San Lorenzo,,Biodiesel-Fason;2023-9
T 6 INDUSTRIAL S.A.,33689206099,T 6 Industrial S.A. - Pto Gral. San Martin - Santa Fe,Planta Biodiesel,H. YRIGOYEN Y L. N. MANSILLA  ,SANTA FE,San Lorenzo,,Biodiesel-Fason;2024-4
UNITEC BIO S.A.,30709900958,Unitec Bio S.A. - Pto. Gral. San Martin - Santa Fe,Planta Biodiesel,BATALLA DE QUEBRACHO S/N,SANTA FE,San Lorenzo,,Biodiesel;2024-4
L.D.C. ARGENTINA S.A.,30526712729,L.D.C. Argentina S.A. - Gral. Lagos - Santa Fe,Planta Biodiesel,RUTA 21 KM 16,SANTA FE,Rosario,ARROYO SECO,Biodiesel;2024-4
EXPLORA S.A.,33709699879,Explora S.A. Pto. Gral. San Martin - Santa Fe,Planta Biodiesel,HIPOLITO IRIGOYEN 2933,SANTA FE,San Lorenzo,,Biodiesel;2024-4
PATAGONIA BIOENERGÍA S.A.,30709967947,Patagonia Bioenergía S.A. - San Lorenzo - Santa Fe,Planta de Biodiesel y Bioetanol,AUTOPISTA ROSARIO-SANTA FE Y GOBERNADOR SAAVEDRA,SANTA FE,San Lorenzo,GRAN ROSARIO,Biodiesel;2024-4 / Biodiesel-Fason;2024-4
ENERGÍAS RENOVABLES ARGENTINA S.A. (ERA),30709849871,ERA S.A. - Piamonte - Dto. San Martín - Santa Fe,Planta Biodiesel,MITRE Y SANTA FE,SANTA FE,San Martín,PIAMONTE,Biodiesel;2024-4
DIFEROIL S.A.,30710590296,Diferoil S.A. - Pque. Industrial Alvear - Alvear - Santa Fe,Planta Biodiesel,RUTA 21 KM 286,SANTA FE,Rosario,,Biodiesel;2024-4
SEABOARD ENERGÍAS RENOVABLES Y ALIMENTOS S.R.L.,30501091223,SEABOARD ENERGÍAS RENOVABLES Y ALIMENTOS S.R.L.- El Tabacal - Orán - Salta,Planta Bioetanol,PASAJE EL TABACAL S/N,SALTA,Orán,,Bioetanol;2024-4
ROSARIO BIOENERGY S.A.,30710123841,Rosario Bioenergy S.A. - Roldán - Santa Fe,Planta Biodiesel,RUTA A 012 KM 47.5,SANTA FE,San Lorenzo,,Biodiesel;2024-4
BIOENERGÍA SANTA ROSA S.A. ,30711138435,Bioenergía Santa Rosa - León Rouges - Tucumán,Planta Bioetanol,CALLE SGTO. JUAREZ S/N - COLINDANTE AL INGENIO SANTA ROSA,TUCUMAN,Monteros,,Bioetanol;2024-5
BIO SAN ISIDRO S.A. ,33710955749,Bio San Isidro S.A. - Campo Santo - Salta,Planta Bioetanol,SGTO.CABRAL S/N,SALTA,General Güemes,,Bioetanol;2024-4
BIOTRINIDAD S.A.,30711190577,Biotrinidad S.A. - Villa la Trinidad - Tucuman,Planta Bioetanol,JUAN M. MENDEZ S/Nº,TUCUMAN,Chicligasta,LA TRINIDAD-MEDINA,Bioetanol;2024-4
HÉCTOR A. BOLZAN Y CÍA. S.R.L.,30608073643,H. A. Bolzan y Cia S.R.L. - Aldea Maria Luisa - Entre Rios,Planta Biodiesel,RUTA 12 KM 22,ENTRE RIOS,Paraná,,Biodiesel;2024-5
ARIPAR CEREALES S.A.,30679488666,Aripar Cereales S.A. - Daireaux - Buenos Aires,Planta Biodiesel,"FAVALORO 50- PQUE. IND. DAIREAX 
",BUENOS AIRES,Daireaux,,Biodiesel;2024-5
RÍO GRANDE ENERGÍA S.A.,33711255759,Rio Grande S.A. - La Mendieta - Jujuy,Planta Bioetanol,CALLE RECONQUISTA S/N,JUJUY,San Pedro,LA MENDIETA,Bioetanol;2024-5
BIOLEDESMA S.A.,30710955510,Bio Ledesma S.A. - Lib. Gral. San Martin - Ledesma - Jujuy,Planta Bioetanol,CALLE S/N - LINDANTE INGENO LEDESMA,JUJUY,Ledesma,CIUDAD DEL LIB. GRAL SAN MARTIN,Bioetanol;2024-4
ENERGÍA RENOVABLE S.A. (ENRESA),33711594499,EN.RE.SA. Pque. Industrial Catrilo - Catrilo - La Pampa,Planta Biodiesel,PARQUE INDUSTRIAL CATRILO,LA PAMPA,Catriló,CATRILO,Biodiesel;2024-4
COLALAO DEL VALLE S.A.,33711009359,Colalao del Valle S.A. - Malvinas Argentinas - Buenos Aires,Planta Biodiesel,"LEONARDO DA VINCI 2819
",BUENOS AIRES,Malvinas Argentinas,GRAN BUENOS AIRES,Biodiesel;2024-4
CREMER Y ASOCIADOS S.A.,30678544007,Cremer y Asociados S.A. - Planta - Arroyo Seco - Santa Fe,Planta Biodiesel,GENERAL GUEMES 275,SANTA FE,Rosario,ARROYO SECO,Biodiesel;2024-4
CARGILL S.A.C.I.,30506792165,Cargill S.A.C.I. Planta - Villa Gobernador Galvez - Rosario - Sta Fe,Planta Biodiesel,SOLIS 822 BIS,SANTA FE,Rosario,,Biodiesel;2024-3
BIOETANOL RÍO CUARTO S.A.,30709934313,Bioetanol Rio Cuarto S.A. - Rio Cuarto - Cordoba,Planta Bioetanol,"R.P. 19 KM 1,2",CORDOBA,Río Cuarto,,Bioetanol;2024-5
PAMPA BIO S.A.,30711832382,Pampa Bio S.A. - Gral. Pico - La Pampa,Planta Biodiesel,RUTA 102 SUR,LA PAMPA,Maracó,,Biodiesel;2024-4
BIO NOGOYA S.A.,30712304908,Bio Nogoya S.A. - Nogoya - Entre Rios,Planta Biodiesel,RUTA 26 KM 2,ENTRE RIOS,Nogoyá,NOGOYA,Biodiesel;2024-5
Noble Argentina S.A.,30707791086,Noble Argentina S.A. - Timbues - Santa Fe,Planta Biodiesel,B. ESTANISLAO LOPEZ 8514,SANTA FE,San Lorenzo,,Biodiesel;2024-4
BIOBAHIA S.A.,30711958122,Biobahia S.A. - Pque Ind. Bahia Blanca - Buenos Aires,Planta Biodiesel,"PQUE. INDUSTRIAL BAHIA BLANCA
",BUENOS AIRES,Bahía Blanca,GRAN BAHIA BLANCA - INGENIERO WHITE,Biodiesel;2024-4
