fecha,empresa,localidad,provincia,cupo_total_asignado_ton,produccion_ton,ventas_al_corte_ton,otras_ventas_ton,ventas_a_axion_ton,ventas_a_dapsa_ton,ventas_a_petrobras_ton,ventas_a_petrolera_cono_sur_ton,ventas_a_polipetrol_ton,ventas_a_refinor_ton,ventas_a_shell_ton,ventas_a_ypf_ton,ventas_a_oil_combustibles_ton,ventas_a_new_american_oil_ton,ventas_a_refi_pampa_oil_ton,ventas_a_trafigura_oil_ton,ventas_enarsa_ton,ventas_e_der_del_pet_ton,ventas_petroil_ton
1/1/2010,ADVANCED ORGANIC MATERIALS S.A., PILAR,BUENOS AIRES,0,687.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,T 6 INDUSTRIAL S.A., SAN LORENZO,SANTA FE,0,19175.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,UNITEC BIO S.A., SAN LORENZO,SANTA FE,0,15696.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,PITEY S.A., VILLA MERCEDES,SAN LUIS,0,201.017,0,200.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,VICENTÍN S.A.I.C.,AVELLANEDA,SANTA FE,0,8993.55,0,3.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,L.D.C. S.A.,GENERAL LAGOS,SANTA FE,0,23272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,EXPLORA S.A.,SAN LORENZO,SANTA FE,0,4807.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,MOLINOS RÍO DE LA PLATA S.A.,ROSARIO,SANTA FE,0,6851.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,PATAGONIA BIOENERGIA S.A.,SAN LORENZO,SANTA FE,0,21172.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2010,RENOVA S.A.,SAN LORENZO,SANTA FE,0,39389.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,ADVANCED ORGANIC MATERIALS S.A., PILAR,BUENOS AIRES,0,367.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,T 6 INDUSTRIAL S.A., SAN LORENZO,SANTA FE,0,20451.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,UNITEC BIO S.A., SAN LORENZO,SANTA FE,0,6878.07,211.62,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,PITEY S.A., VILLA MERCEDES,SAN LUIS,0,184.809,0,221.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,VICENTÍN S.A.I.C.,AVELLANEDA,SANTA FE,0,8662.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,L.D.C. S.A.,GENERAL LAGOS,SANTA FE,0,15906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,EXPLORA S.A.,SAN LORENZO,SANTA FE,0,3080.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,MOLINOS RÍO DE LA PLATA S.A.,ROSARIO,SANTA FE,0,6790.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2010,PATAGONIA BIOENERGIA S.A.,SAN LORENZO,SANTA FE,0,15417.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
