indice_tiempo,produccion_total,ventas_totales,prod_maiz,ventas_totales_maiz,prod_cana_azucar,ventas_totales_cana_azucar
2009-11,858,0,0,0,858,0
2009-12,22439,2664,0,0,22439,2664
2010-01,771,6188,0,0,771,6188
2010-02,4791,6718,0,0,4791,6718
2010-03,4445,9585,0,0,4445,9585
2010-04,4549,8247,0,0,4549,8247
2010-05,5210,7892,0,0,5210,7892
2010-06,12069,9279,0,0,12069,9279
2010-07,14575,10927,0,0,14575,10927
2010-08,15258,11620,0,0,15258,11620
2010-09,17729,11201,0,0,17729,11201
2010-10,22145,11259,0,0,22145,11259
2010-11,17654,12129,0,0,17654,12129
2010-12,5734,12761,0,0,5734,12761
2011-01,7775,10892,0,0,7775,10892
2011-02,4239,10064,0,0,4239,10064
2011-03,4427,11329,0,0,4427,11329
2011-04,5938,10581,0,0,5938,10581
2011-05,5081,10655,0,0,5081,10655
2011-06,18209,12451,0,0,18209,12451
2011-07,21344,16544,0,0,21344,16544
2011-08,20285,16023,0,0,20285,16023
2011-09,23841,16934,0,0,23841,16934
2011-10,23626,16848,0,0,23626,16848
2011-11,21336,16183,0,0,21336,16183
2011-12,17522,16888,0,0,17522,16888
2012-01,17295,17391,0,0,17295,17391
2012-02,8261,16573,0,0,8261,16573
2012-03,9420,18130,0,0,9420,18130
2012-04,8026,16447,0,0,8026,16447
2012-05,9710,13945,0,0,9710,13945
2012-06,22395,17398,0,0,22395,17398
2012-07,28509,18951,0,0,28509,18951
2012-08,24617,19189,0,0,24617,19189
2012-09,32106,20731,3373,1937,28733,18794
2012-10,33540,25022,5526,5515,28014,19507
2012-11,28740,25572,4801,4954,23939,20618
2012-12,27870,28494,6800,4989,21070,23505
2013-01,22087,32389,7690,8489,14397,23900
2013-02,18891,31533,7287,8277,11604,23256
2013-03,27122,32987,9913,9859,17209,23128
2013-04,31757,33715,10349,9908,21408,23807
2013-05,31832,37967,12026,12387,19806,25580
2013-06,40810,35142,12170,11348,28640,23794
2013-07,50613,41904,12458,13005,38155,28899
2013-08,61897,44226,24224,16425,37673,27801
2013-09,49433,43414,15269,17383,34164,26031
2013-10,50063,45572,15951,19633,34112,25939
2013-11,47499,47445,18786,21794,28713,25651
2013-12,40376,48458,21471,20635,18905,27823
2014-01,42428,53039,22848,23126,19580,29913
2014-02,39043,49528,24005,24759,15038,24769
2014-03,41799,52301,23942,23438,17857,28863
