fecha,pais_destino,cantidad_ton,monto_fob
8/1/2012,España,108641.53,119048599.7
8/1/2012,Países Bajos,28000,32392765
8/1/2012,Perú,15700,17866600
8/1/2012,Suecia,20434,22094268.28
8/1/2012,Uruguay,7000,7675595
8/1/2012,España,41350,39313720
8/1/2012,Italia,4000,4200000
8/1/2012,Países Bajos,18000,18832272
8/1/2012,Perú,15750,16913500
8/1/2012,España,41150,46180300
8/1/2012,Países Bajos,2792,3045660
8/1/2012,Perú,25535,24584135.5
11/1/2012,España,42700,47228485
11/1/2012,Países Bajos,6858,10359215
11/1/2012,Perú,17030,13816335.35
11/1/2012,U.S.A.,4765,5061335.35
12/1/2012,España,47143.29,50321774.61
12/1/2012,Países Bajos,5000,5205000
12/1/2012,Perú,5500,5775000
12/1/2012,Suiza,17000,17153940
1/1/2013,Australia,7500,8077500
1/1/2013,España,62500,67249390.42
1/1/2013,Países Bajos,25000,27800000
1/1/2013,Perú,12250,12926646.25
2/1/2013,España,38000,40450000
2/1/2013,Perú,7000,7413300
3/1/2013,Australia,10000,9490000
3/1/2013,Belgica,10000,6275000
3/1/2013,Países Bajos,28000,27560300
3/1/2013,Perú,20700,15921992
3/1/2013,U.S.A.,21000,22120000
4/1/2013,España,31500,29541820
4/1/2013,Países Bajos,16000,15840000
4/1/2013,Perú,12000,10974500
4/1/2013,U.S.A.,25000,23670000
5/1/2013,Países Bajos,2620.35,2422531.64
5/1/2013,Perú,5000,4525000
6/1/2013,Países Bajos,19500,16809000
6/1/2013,Perú,5000,4790184.7
6/1/2013,U.S.A.,10500,9397500
7/1/2013,España,30000,27762300
7/1/2013,Países Bajos,21000,18742482.91
7/1/2013,Perú,40060,27447720
8/1/2013,Australia,4500,4115610
8/1/2013,España,90000,65835000
8/1/2013,Países Bajos,35395,30733450
8/1/2013,Perú,5000,4409992
8/1/2013,Taiwan,4200,3738000
8/1/2013,U.S.A.,39000,29122500
9/1/2013,España,18500,17482500
9/1/2013,Países Bajos,9964,8509256
9/1/2013,Perú,47750,37628608.37
9/1/2013,U.S.A.,45450,38507400
10/1/2013,Albania,5250,4415250
10/1/2013,Australia,3500,1480000
10/1/2013,Belgica,18780,16520680
10/1/2013,Países Bajos,14867,13187516
10/1/2013,Perú,6100,5630300
10/1/2013,Puerto Rico,31493.8,3379832
10/1/2013,U.S.A.,116633,101524454
11/1/2013,Perú,19996,17624990
11/1/2013,U.S.A.,156000,129102897.8
12/1/2013,Perú,16750,17367730
1/1/2014,Perú,34321.46,21680064.38
2/1/2014,Australia,3755,3043250
2/1/2014,España,30000,24096040
2/1/2014,Perú,19000,15840858.18
2/1/2014,Posic. BritÃ¡nicas,40000,24460000
3/1/2014,Perú,5000,4550000
3/1/2014,Posic. BritÃ¡nicas,25417,20301220.5
3/1/2014,Reino Unido,54583,45930842.28
4/1/2014,Australia,5527,4729518
4/1/2014,Perú,43433,31855005
5/1/2014,España,31600,26544000
5/1/2014,Perú,7000,6645000
5/1/2014,Posic. BritÃ¡nicas,46500,34493150
5/1/2014,Reino Unido,33000,28093195
6/1/2014,Australia,13666.5,15206870
6/1/2014,España,25365,21228815
6/1/2014,Perú,20699,26170638
6/1/2014,Posic. BritÃ¡nicas,64240,54255590
6/1/2014,U.S.A.,18200,15797600
7/1/2014,Australia,3000,3175000
7/1/2014,Corea,14500,12930062
7/1/2014,España,37000,27888000
7/1/2014,Perú,24730,20020150.87
7/1/2014,Posic. BritÃ¡nicas,60000,38673000
7/1/2014,Reino Unido,55100,46861202
7/1/2014,Taiwan,5000,4860515
8/1/2014,Dinamarca,785,643700
8/1/2014,España,116615,98558793
8/1/2014,Países Bajos,31000,25822000
8/1/2014,Perú,5000,4035700
8/1/2014,Posic. BritÃ¡nicas,19600,9071200
8/1/2014,U.S.A.,30000,25030700
9/1/2014,Costa De Marfil,30000,18480000
9/1/2014,Países Bajos,20000,15202000
9/1/2014,Perú,29000,35726000
9/1/2014,Posic. BritÃ¡nicas,16433,4440000
9/1/2014,Reino Unido,48367,39816801.2
9/1/2014,U.S.A.,19380,15465240
10/1/2014,España,104644.2,72815702.4
10/1/2014,Países Bajos,10000,7610000
10/1/2014,Perú,21200,16719612
10/1/2014,Posic. BritÃ¡nicas,56870,69087150
10/1/2014,Reino Unido,34530,26975000
10/1/2014,U.S.A.,40000,26960000
11/1/2014,Perú,31200,18341500
11/1/2014,Posic. BritÃ¡nicas,47000,28337500
11/1/2014,Reino Unido,23000,17833750
11/1/2014,U.S.A.,19021.82,12611466.66
12/1/2014,España,44750,24320000
12/1/2014,Perú,21140,10707300
12/1/2014,Puerto Rico,30000,23768000
12/1/2014,U.S.A.,32521.5,16581910
1/1/2015,España,6250,4625000
1/1/2015,Perú,5000,1480000
1/1/2015,U.S.A.,14000,11354000
2/1/2015,Perú,22750,11077500
2/1/2015,U.S.A.,10000,4150000
3/1/2015,Perú,5100,2621400
