cod_pais,nom_pais,año,mes,insumo,cod_uni_med,nom_uni_med,destino_bioetanol,destino_otros,total
32,Argentina,2018,Enero,Maiz,t,Toneladas,127018,21016,148033
32,Argentina,2018,Febrero,Maiz,t,Toneladas,120435,16379,136814
32,Argentina,2018,Marzo,Maiz,t,Toneladas,122314,21572,143885
32,Argentina,2018,Abril,Maiz,t,Toneladas,136903,21795,158698
32,Argentina,2018,Mayo,Maiz,t,Toneladas,130278,20467,150745
32,Argentina,2018,Junio,Maiz,t,Toneladas,129047,19831,148878
32,Argentina,2018,Julio,Maiz,t,Toneladas,119416,18102,137518
32,Argentina,2018,Agosto,Maiz,t,Toneladas,123428,25861,149289
32,Argentina,2018,Septiembre,Maiz,t,Toneladas,121535,19187,140722
32,Argentina,2018,Octubre,Maiz,t,Toneladas,128307,18153,146460
32,Argentina,2018,Noviembre,Maiz,t,Toneladas,126599,17963,144562
32,Argentina,2018,Diciembre,Maiz,t,Toneladas,128486,18708,147194
32,Argentina,2019,Enero,Maiz,t,Toneladas,116238,19991,136229
32,Argentina,2019,Febrero,Maiz,t,Toneladas,112369,18731,131100
32,Argentina,2019,Marzo,Maiz,t,Toneladas,116267,21687,137954
32,Argentina,2019,Abril,Maiz,t,Toneladas,134030,27699,161729
32,Argentina,2019,Mayo,Maiz,t,Toneladas,126180,21838,148018
32,Argentina,2019,Junio,Maiz,t,Toneladas,122734,22854,145588
