establecimiento,cuil,tipo_planta,localidad,area_urbana,departamento,provincia,grano,tn_prod_diar,tn_refi_diar,geojson
Aceitera Chabás S.A ,30-55910851-7,Productora de aceite,Chabás,CHABAS,Caseros,SANTA FE,Soja,4000,,"{""type"":""Point"",""coordinates"":[-61.363943,-33.2346321]}"
Aceitera del Litoral S.A.,33-71086020-9,Productora de aceite,Parana,GRAN PARANA,Paraná,ENTRE RIOS,Lino y Soja,600,,"{""type"":""Point"",""coordinates"":[-60.568318,-31.7109641]}"
Aceitera Gral. Deheza SAICA,30-50287435-3,Refineria y Productora de aceiete,Gral. Deheza,,Juárez Celman,CORDOBA,Girasol y Soja,17000,900,"{""type"":""Point"",""coordinates"":[-63.790609,-32.7504551]}"
Aceitera Ricedal ,30-70722742-3,Productora de aceite,Chabas,,Caseros,SANTA FE,Soja,300,,"{""type"":""Point"",""coordinates"":[-61.349007,-33.233811]}"
AFA (Agríc. Federados Args.) ,30-52571862-6,Refineria y Productora de aceiete,Los Cardos,,San Martín,SANTA FE,Soja y Otros,500,150,"{""type"":""Point"",""coordinates"":[-61.633847,-32.3287511]}"
Alimentos Santa Rosa S.A.,30-70859027-0,Productora de aceite,Rio Cuarto,RIO CUARTO,Río Cuarto,CORDOBA,Soja,250,,"{""type"":""Point"",""coordinates"":[-64.3217521,-33.144972]}"
Arcor S.A.I.C. ,30-50279317-5,Refineria y Productora de aceiete,San Pedro,,San Pedro,BUENOS AIRES,Germen de maiz,100,23,"{""type"":""Point"",""coordinates"":[-59.678932,-33.6985431]}"
Bio-Com S.A.,33-70762273-9,Productora de aceite,Pilar,RIO SEGUNDO,Río Segundo,CORDOBA,Soja,130,,"{""type"":""Point"",""coordinates"":[-63.888118,-31.6806631]}"
Bunge Argentina S.A.,30-70086991-8,Refineria y Productora de aceiete,Tancacha,TANCACHA,Tercero Arriba,CORDOBA,"Soja, Maíz, Caramo y Girasol",1000,32,"{""type"":""Point"",""coordinates"":[-63.972514,-32.244121]}"
Bunge Argentina S.A.,30-70086991-8,Productora de aceite,Ramallo,,Ramallo,BUENOS AIRES,Soja,3000,,"{""type"":""Point"",""coordinates"":[-60.046076,-33.4558411]}"
Bunge Argentina S.A.,30-70086991-8,Refineria y Productora de aceiete,San Jerónimo Sur,,San Lorenzo,SANTA FE,Girasol y Soja,2000,250,"{""type"":""Point"",""coordinates"":[-60.989226,-32.8890461]}"
