indice_tiempo,biodisel_produccion,biodisel_ventas_al_corte,biodisel_otras_ventas_al_mercado_interno,biodisel_exportaciones,bioetanol_total_produccion,bioetanol_total_ventas_corte,bioetanol_en_base_a_maiz_produccion,bioetanol_base_maiz_ventas_corte,bioetanol_base_cania_azucar_produccion,bioetanol_base_cania_azucar_ventas_corte
2008-01-01,47251.0,0.0,1.0,43599.0,,,,,,
2008-02-01,38747.0,0.0,0.0,25147.0,,,,,,
2008-03-01,42095.0,0.0,264.0,52150.0,,,,,,
2008-04-01,43881.0,0.0,0.0,55907.0,,,,,,
2008-05-01,51679.0,0.0,0.0,42214.0,,,,,,
2008-06-01,50726.0,0.0,0.0,25295.0,,,,,,
2008-07-01,71888.0,0.0,0.0,61050.0,,,,,,
2008-08-01,91595.0,0.0,0.0,85583.0,,,,,,
2008-09-01,83924.0,0.0,0.0,108330.0,,,,,,
2008-10-01,97429.0,0.0,0.0,92242.0,,,,,,
2008-11-01,79530.0,0.0,0.0,39028.0,,,,,,
2008-12-01,13119.0,0.0,0.0,49675.0,,,,,,
2009-01-01,18355.0,0.0,0.0,27500.0,,,,,,
2009-02-01,47673.0,0.0,17.0,47025.0,,,,,,
2009-03-01,76655.0,0.0,55.0,67849.0,,,,,,
2009-04-01,80577.0,0.0,26.0,84925.0,,,,,,
2009-05-01,90288.0,0.0,0.0,91690.0,,,,,,
2009-06-01,103000.0,0.0,0.0,94319.0,,,,,,
2009-07-01,125872.0,0.0,0.0,133120.0,,,,,,
2009-08-01,123928.0,0.0,0.0,124775.0,,,,,,
2009-09-01,137501.0,0.0,29.0,142273.0,,,,,,
2009-10-01,130614.0,0.0,15.0,105600.0,,,,,,
2009-11-01,131458.0,0.0,108.0,96318.0,,,,,,
2009-12-01,113182.0,0.0,176.0,126889.0,,,,,,
2010-01-01,140247.0,0.0,204.0,153569.0,771.0,6188.0,0.0,0.0,771.0,6188.0
2010-02-01,112508.0,212.0,222.0,110306.0,4791.0,6718.0,0.0,0.0,4791.0,6718.0
2010-03-01,107929.0,23579.0,166.0,67800.0,4445.0,9585.0,0.0,0.0,4445.0,9585.0
2010-04-01,141733.0,54041.0,140.0,107779.0,4549.0,8247.0,0.0,0.0,4549.0,8247.0
2010-05-01,159105.0,52618.0,132.0,79757.0,5210.0,7892.0,0.0,0.0,5210.0,7892.0
2010-06-01,160019.0,51415.0,452.0,142420.0,12069.0,9279.0,0.0,0.0,12069.0,9279.0
2010-07-01,165098.0,48701.0,824.0,97865.0,14575.0,10927.0,0.0,0.0,14575.0,10927.0
2010-08-01,164382.0,54630.0,1273.0,136329.0,15258.0,11620.0,0.0,0.0,15258.0,11620.0
2010-09-01,157835.0,60172.0,792.0,84151.0,17729.0,11201.0,0.0,0.0,17729.0,11201.0
2010-10-01,180593.0,51001.0,201.0,130959.0,22145.0,11259.0,0.0,0.0,22145.0,11259.0
2010-11-01,177578.0,53800.0,340.0,102345.0,17654.0,12129.0,0.0,0.0,17654.0,12129.0
2010-12-01,153358.0,53156.0,495.0,129039.0,5734.0,12761.0,0.0,0.0,5734.0,12761.0
2011-01-01,151848.0,51567.0,341.0,105431.0,7775.0,10892.0,0.0,0.0,7775.0,10892.0
2011-02-01,140363.0,47034.0,181.0,93625.0,4239.0,10064.0,0.0,0.0,4239.0,10064.0
2011-03-01,187813.0,61711.0,256.0,113189.0,4427.0,11329.0,0.0,0.0,4427.0,11329.0
2011-04-01,201369.0,61020.0,78.0,119867.0,5938.0,10581.0,0.0,0.0,5938.0,10581.0
2011-05-01,219703.0,63499.0,2573.0,133987.0,5081.0,10655.0,0.0,0.0,5081.0,10655.0
2011-06-01,210080.0,65633.0,816.0,151333.0,18209.0,12451.0,0.0,0.0,18209.0,12451.0
2011-07-01,222315.0,57802.0,3053.0,157789.0,21344.0,16544.0,0.0,0.0,21344.0,16544.0
