indice_tiempo,biodisel_produccion,biodisel_ventas_al_corte,biodisel_otras_ventas_al_mercado_interno,biodisel_exportaciones,bioetanol_total_produccion,bioetanol_total_ventas_corte,bioetanol_en_base_a_maiz_produccion,bioetanol_base_maiz_ventas_corte,bioetanol_base_cania_azucar_produccion,bioetanol_base_cania_azucar_ventas_corte
2008-01-01,128093.0,0.0,265.0,120896.0,,,,,,
2008-04-01,146286.0,0.0,0.0,123416.0,,,,,,
2008-07-01,247407.0,0.0,0.0,254963.0,,,,,,
2008-10-01,190078.0,0.0,0.0,180945.0,,,,,,
2009-01-01,142683.0,0.0,72.0,142374.0,,,,,,
2009-04-01,273865.0,0.0,26.0,270934.0,,,,,,
2009-07-01,387301.0,0.0,29.0,400168.0,,,,,,
2009-10-01,375254.0,0.0,299.0,328807.0,,,,,,
2010-01-01,360684.0,23791.0,592.0,331675.0,10007.0,22491.0,,,10007.0,22491.0
2010-04-01,460857.0,158074.0,724.0,329956.0,21828.0,25418.0,,,21828.0,25418.0
2010-07-01,487315.0,163503.0,2889.0,318345.0,47562.0,33748.0,,,47562.0,33748.0
2010-10-01,511529.0,157957.0,1036.0,362343.0,45533.0,36149.0,,,45533.0,36149.0
2011-01-01,480024.0,160312.0,778.0,312245.0,16441.0,32285.0,,,16441.0,32285.0
2011-04-01,631152.0,190152.0,3467.0,405187.0,29228.0,33687.0,,,29228.0,33687.0
2011-07-01,654557.0,178981.0,4075.0,473594.0,65470.0,49501.0,,,65470.0,49501.0
2011-10-01,664231.0,210041.0,936.0,458326.0,62484.0,49919.0,,,62484.0,49919.0
2012-01-01,710435.0,199511.0,3470.0,446254.0,34976.0,52094.0,,,34976.0,52094.0
2012-04-01,706277.0,234176.0,25562.0,467678.0,40131.0,47790.0,,,40131.0,47790.0
2012-07-01,613311.0,203639.0,19911.0,413688.0,85232.0,58871.0,3373.0,1937.0,81859.0,56934.0
2012-10-01,426555.0,187068.0,1457.0,215473.0,90150.0,79088.0,17127.0,15458.0,73023.0,63630.0
2013-01-01,389908.0,196512.0,572.0,241950.0,68100.0,96909.0,24890.0,26625.0,43210.0,70284.0
2013-04-01,425827.0,238823.0,16.0,127120.0,104399.0,106824.0,34545.0,33643.0,69854.0,73181.0
2013-07-01,608863.0,226826.0,0.0,390819.0,161943.0,129544.0,51951.0,46813.0,109992.0,82731.0
2013-10-01,573211.0,222197.0,30.0,389370.0,137938.0,141475.0,56208.0,62062.0,81730.0,79413.0
2014-01-01,394255.0,162976.0,0.0,212076.0,123270.0,154868.0,70795.0,71323.0,52475.0,83545.0
2014-04-01,621816.0,241277.0,379.0,309231.0,162499.0,157654.0,98246.0,91132.0,64253.0,66522.0
2014-07-01,848791.0,280290.0,103.0,565510.0,182268.0,157937.0,94202.0,90235.0,88066.0,67702.0
2014-10-01,719428.0,284913.0,203.0,515878.0,203084.0,192643.0,108014.0,112210.0,95070.0,80433.0
2015-01-01,330173.0,255798.0,170.0,95805.0,170010.0,196356.0,114731.0,115215.0,55279.0,81141.0
2015-04-01,450110.0,269782.0,133.0,140745.0,189243.0,194048.0,117563.0,114407.0,71680.0,79641.0
2015-07-01,568129.0,284794.0,88.0,260405.0,224615.0,197366.0,115744.0,117095.0,108871.0,80272.0
2015-10-01,462245.0,202584.0,1012.0,291271.0,231539.0,215870.0,131226.0,128852.0,100314.0,87017.0
2016-01-01,399833.0,198988.0,2295.0,185480.0,196720.0,212665.0,131856.0,126792.0,64864.0,85873.0
2016-04-01,704717.0,273860.0,357.0,404215.0,184024.0,198698.0,110553.0,107655.0,73472.0,91043.0
2016-07-01,826574.0,273495.0,30.0,507260.0,251490.0,235746.0,126241.0,121938.0,125250.0,113809.0
2016-10-01,728151.45,286986.62,385.75,529308.69,257710.17543,263782.01847999997,121187.71555000001,134141.76974000002,136522.68984,129640.24874000001
2017-01-01,524184.39,273174.92,65.12,180750.0,247237.3979677757,263273.77577359165,135140.22695288126,131872.40041820364,112097.17101489447,131401.375355388
2017-04-01,828968.75,291023.44,28.42,560735.44,257807.66,259395.87,127240.99,131982.97999999998,130566.67,127412.88999999998
2017-07-01,656839.3,293201.98,30.29,352842.83999999997,304710.65,267888.66000000003,139730.99,134104.5,164979.66,133784.16
2017-10-01,861442.56,315894.62,114.28,555790.77,295351.13,286316.30000000005,149851.32,152783.73,145499.81,133532.57
2018-01-01,579074.26,260316.93,119.94000000000001,319109.23,232101.72999999998,273223.25,145554.90999999997,146255.50999999998,86546.82,126967.73999999999
2018-04-01,782286.3900000001,281656.67,88.8,479000.0,269737.80000000005,263796.12,149626.8,143739.49000000002,120111.0,120056.63
2018-07-01,568985.6799999999,288095.3,225.60999999999999,341334.23,320594.62000000005,262576.12,140914.77000000002,137690.35,179679.85,124885.77
2018-10-01,498650.73000000004,268389.31,998.94,261873.39999999997,291346.65,264272.31,149522.16,135272.07,141824.49,129000.23999999999
2019-01-01,375462.3699999999,254227.61,3049.74,60000.0,215552.02000000002,264153.41,129438.55000000002,134417.41,86113.47,129736.0
2019-04-01,724893.98,282536.43000000005,11439.6,435020.01,247240.22000000003,255868.77000000002,142451.01,132796.2,104789.20999999999,123072.56999999999
2019-07-01,547313.11,247266.03000000003,21717.260000000002,311316.82,317348.86,266120.79000000004,132371.03,133300.58000000002,184977.83,132820.21000000002
2019-10-01,499601.02000000014,286931.42,29560.580000000005,208669.99,293354.39,277275.021,149568.2,148805.608,143786.19,128469.413
2020-01-01,468579.62000000005,190624.559,15347.439999999999,239989.88,215596.82,261137.512,149561.37,141301.805,66035.45000000001,119835.707
2020-04-01,256597.93999999994,194710.376,3258.09,27784.0,109418.93,107789.27299999999,62314.05,55049.223,47104.88,52740.049999999996
2020-07-01,382523.31,89431.30699999999,1716.1899999999998,329431.0,243463.46999999997,185781.741,111624.68,100427.67400000001,131838.78999999998,85354.067
2020-10-01,49663.24,2757.45,1013.8600000000001,0.0,240245.31,209620.13999999998,100074.73,92705.59999999999,140170.58000000002,116914.54
2021-01-01,318934.60000000003,116588.679649,954.1,267383.58,208042.0,252943.0,127641.0,130556.0,80400.0,122385.0
2021-04-01,443310.6,58748.912,114.06,311082.0,202949.0,213928.0,119616.0,115174.0,83333.0,98754.0
2021-07-01,571343.29,131767.681,149.57999999999998,451075.0,306678.0,255739.0,139029.0,131277.0,167650.0,124465.0
2021-10-01,390077.0,131051.0,41.0,240029.0,290388.0,275896.0,147642.0,145599.0,142747.0,130298.0
2022-01-01,539870.3799999999,98433.56999999998,45.64,443695.69,221709.60000000003,275444.97,143645.46000000002,144444.67,78064.14,131000.3
2022-04-01,557570.3399999999,165117.189,28.64,429824.25,260597.15000000002,254729.80999999997,179158.24,169381.88,81438.91,85347.93
2022-07-01,348362.44000000006,251388.83200000002,43.96,26668.89,352159.28,285228.74199999997,190111.62,164363.386,162047.66,120865.356
2022-10-01,463815.24000000005,196861.838,2394.52,336221.02,324375.32,310754.744,189937.59,193343.35,134437.73,117411.39400000001
2023-01-01,205609.12,154072.233,125.91999999999999,30000.0,253748.97000000003,287143.36,197935.88,185432.63100000002,55813.09,101710.729
2023-04-01,247106.66000000003,182338.303,39.96,100000.0,249608.39,269636.734,183946.03,182980.184,65662.36,86656.54999999999
2023-07-01,267913.04,161717.63499999995,8048.4800000000005,109082.0,327856.31,296858.525,201876.47,186320.77200000003,125979.83999999998,110537.753
2023-10-01,110639.72999999998,82373.81400000001,88.03999999999999,45518.0,325489.29000000004,283215.978,192989.01,180569.45900000003,132500.28,102646.51899999997
2024-01-01,231176.07,183753.926,532.8599999999999,0.0,253223.45,286860.125,184073.75,169151.977,69149.70000000001,117708.148
2024-04-01,354857.33999999997,196365.08000000002,434.34,165676.63999999998,285881.5,263044.179,178985.25,135273.348,106896.25,127770.831
2024-07-01,336774.82999999996,213479.79499999998,434.36,157061.34,363320.79000000004,277468.00499999995,180123.44,138978.52899999998,183197.35000000003,138489.47600000002
2024-10-01,239888.34,181767.23100000003,448.47999999999996,60600.0,305091.62,296657.631,185757.31,152386.043,119334.31,144271.588
