indice_tiempo,molienda_lino,molienda_sorgo_granifero,molienda_girasol,molienda_mani,molienda_trigo_pan,molienda_arroz,molienda_maiz,molienda_soja,molienda_trigo_candeal
1950,441132,,902363,37036,2789548,81798,148374,,
1951,467156,,858608,36477,2731664,109642,161254,,
1952,362252,,835873,81589,2214982,173112,184018,,
1953,570367,,301059,90828,2894511,159960,171663,,
1954,370445,,205304,77815,2787973,186084,173031,,
1955,329096,,238803,78984,2928034,174844,206605,,
1956,132414,,648150,98111,3025723,190158,231683,,
1957,496584,,614343,147710,3071336,163272,225870,,
1958,629694,,702011,272121,3197100,203068,205868,,
1959,624458,,517082,113495,3410874,124585,218902,,
1960,622702,45370,691159,167793,3112294,133968,223307,,
1961,517784,80049,572722,179531,3112294,132355,235516,,
1962,720171,108236,672336,254368,3039327,177489,212619,,
1963,739767,76807,599702,235159,3061877,154904,205802,,
1964,711322,89780,431600,220342,3054525,168229,262511,,14423
1965,796651,138837,887557,259114,3144903,217301,405381,,23401
1966,470222,139713,908756,288443,3185877,208857,401748,,23809
1967,506509,129452,1119320,208483,3066229,203500,425867,3400,26135
1968,407615,156116,993387,176666,3156956,224962,538505,11832,33083
1969,517596,170982,899054,111911,3236623,250632,624727,13462,26424
1970,745022,197920,1156500,151475,3259119,300376,728080,20918,30378
1971,791097,220896,954889,229091,3360315,288795,954490,32341,43328
1972,272067,268451,894813,170926,3596977,220988,1210319,46555,54464
1973,318011,302219,1064390,232862,3695936,219504,1095187,164474,52943
1974,272214,212566,996596,185646,3478753,238569,1508578,246453,49964
1975,355054,490778,633655,149674,3566105,310903,1442243,498518,64007
1976,342632,306072,872196,170196,3735833,285161,1415620,484424,89612
1977,707075,201467,1003195,340869,3808657,331791,1193278,568337,73023
1978,704699,220384,1271285,226409,3824988,260413,1090052,658036,52398
1979,526602,255583,1362375,272068,3757849,267055,1176522,687153,53041
1980,695792,148241,1720398,125526,3674163,241290,1340714,777996,51253
1981,488226,171356,1115133,76955,3515110,326931,1448119,1011304,75015
1982,522385,190689,1768045,112666,3473077,314516,1428524,1735951,61407
1983,680713,157015,2317994,111282,3600158,328802,1523838,2255110,51133
1984,599395,217162,2039218,83503,3716138,413620,1561539,3406855,62288
1985,468748,226937,2907646,80336,3928167,383511,1545193,3674552,67409
1986,420810,272624,3509549,100380,3989765,431331,1523485,4456007,49244
1987,525068,237610,2265650,211926,4029822,363647,1683265,5019608,56369
1988,422801,148511,2720772,152530,3951773,325857,1479473,6196355,62243
1989,389111,96706,3115127,72137,3918517,440442,1199689,5409596,52649
1990,481064,90355,3510638,72888,4070819,363237,1042415,6634874,51833
1991,417206,90504,3777303,196790,4263145,321399,1300968,7261820,54099
1992,322505,95985,3566356,256424,4012042,474977,1656219,8211539,53717
1993,118157,127181,2930083,112131,3963092,523006,1770350,8285886,63926
1994,121617,86103,3353037,104194,4263444,552216,1859513,8905417,111672
1995,142024,126398,4944786,126587,4235930,784696,1789821,9103046,109516
1996,135570,118799,5043314,157035,4521143,778752,1612937,10360362,119850
1997,50194,179120,5460840,152340,4714093,912848,2068403,10470309,156443
1998,62264,148103,5160201,223087,4827135,727588,2215497,15307440,184357
1999,64842,130540,6083735,203597,4550797,800848,2214064,17057715,183249
2000,35291,129167,5149374,144620,4635499,625100,2151761,17030932,181612
2001,11656,118570,3136303,162435,4620326,611038,2218319,18274212,133286
2002,3151,92518,2988582,128677,4668923,369219,1712702,21390839,173426
2003,2795,137179,3286253,114375,4965744,361549,2025730,24319887,167144
2004,8634,122430,2842478,104018,5030312,437392,1981067,24229484,132750
2005,19131,152185,3563262,158929,4997824,633662,2213513,28690811,159992
2006,27240,187013,3754826,139307,5099339,804814,2543871,32731608,182250
2007,15979,184399,3060277,96715,5766447,734941,2627813,36268044,193946
2008,8427,151442,4211298,148199,6123859,712167,2811295,31709219,178084
2009,3349,206019,3463353,200662,6041472,855790,3225498,30285623,175105
2010,7062,224916,2750476,135843,6323386,786922,3634644,36824628,203150
2011,6302,138220,3547927,94827,6390007,1052812,4125244,37337293,222550
2012,3333,136212,3675948,148525,6048630,1126724,4185457,33333313,225491
2013,991,139609,2584411,150438,5026466,1018974,4109914,34040869,267508
2014,3559,133748,2216591,167362,5502068,946981,4436943,37936186,268320
2015,2961,54700,2630706,204836,5599442,777961,5516354,40940319,263551
2016,3480,81497,2745570,194338,5447197,1087554,5228332,8670493,275172
2017,7201,126291,3155237,209151,5634055,931169,5617646,8065602,285620
