pais_id,nompais_id,provincia_id,provincia,localidad,nombreVulgar,unidadRendimiento,RotulosEmitidos,Unidades
32,Argentina,6,BUENOS AIRES,BALCARCE,AGROPIRO ALARGADO,Kilogramos,13358,281151.00
32,Argentina,6,BUENOS AIRES,VILLA LONGA,ALFALFA,Kilogramos,45922,744532.42
32,Argentina,6,BUENOS AIRES,CHACABUCO,ARVEJA VARIEDAD,Kilogramos,55722,2328440.00
32,Argentina,6,BUENOS AIRES,LOBOS,AVENA,Kilogramos,84870,3355480.00
32,Argentina,6,BUENOS AIRES,TORNQUIST,AVENA BLANCA VARIEDAD,Kilogramos,118961,4714540.00
32,Argentina,6,BUENOS AIRES,GUERRICO,AVENA FORRAJERA,Kilogramos,17888,626080.00
32,Argentina,6,BUENOS AIRES,LAS MARTINETAS,CEBADA CERVECERA,Kilogramos,1111830,49254070.00
32,Argentina,6,BUENOS AIRES,TORNQUIST,CEBADA FORRAJERA,Kilogramos,24838,874300.00
32,Argentina,6,BUENOS AIRES,LOBERIA,CEBADILLA,Kilogramos,2904,72600.00
32,Argentina,6,BUENOS AIRES,BALCARCE,CEBADILLA CRIOLLA,Kilogramos,71302,1849475.00
32,Argentina,6,BUENOS AIRES,JUAN N. FERNANDEZ,CEBADILLA DE HUNGRIA O PERENNE,Kilogramos,5711,142775.00
32,Argentina,6,BUENOS AIRES,CORONEL SUAREZ,CEBADILLA INTERMEDIA,Kilogramos,9790,242750.00
32,Argentina,6,BUENOS AIRES,GENERAL ALVARADO,CEBADILLA PERENNE,Kilogramos,4002,120060.00
32,Argentina,6,BUENOS AIRES,TORNQUIST,CENTENO,Kilogramos,8032,321280.00
32,Argentina,6,BUENOS AIRES,ROBERTS,COLZA-CANOLA,Kilogramos,405,8100.00
32,Argentina,6,BUENOS AIRES,ALBERTI,COLZA-CANOLA HIBRIDO,Kilogramos,7079,166975.00
32,Argentina,6,BUENOS AIRES,INDIO RICO,FESTUCA,Kilogramos,1230,24600.00
32,Argentina,6,BUENOS AIRES,PIERES,FESTUCA ALTA,Kilogramos,109493,2217980.00
32,Argentina,6,BUENOS AIRES,CORONEL SUAREZ,FESTULOLIUM,Kilogramos,1060,21200.00
32,Argentina,6,BUENOS AIRES,JUAN A. PRADERE,GIRASOL CONFITURA HIBRIDO,Kilogramos,19321,151009.29
32,Argentina,6,BUENOS AIRES,VILLALONGA,GIRASOL HIBRIDO DE TRES LINEAS,Kilogramos,2118,25416.00
32,Argentina,6,BUENOS AIRES,PEDRO LURO,GIRASOL HIBRIDO SIMPLE CONFITERO,Kilogramos,5187,67259.45
32,Argentina,6,BUENOS AIRES,PEDRO LURO,GIRASOL HIBRIDOS SIMPLES,Kilogramos,210501,2158047.83
32,Argentina,6,BUENOS AIRES,SAUCE CHICO,LINO,Kilogramos,600,24000.00
32,Argentina,6,BUENOS AIRES,RAMOS OTERO,LOLIUM PERENNE,Kilogramos,1608,40200.00
32,Argentina,6,BUENOS AIRES,SANTA CLARA DEL MAR,LOTUS CORNICULATUS,Kilogramos,4907,114662.42
32,Argentina,6,BUENOS AIRES,BALCARCE,LOTUS TENUIS,Kilogramos,2646,53800.62
32,Argentina,6,BUENOS AIRES,CHIVILCOY,MAIZ HIBRIDO FORRAJERO,Kilogramos,7928,158560.00
32,Argentina,6,BUENOS AIRES,CORONEL PRINGLES,MAIZ HIBRIDOS DOBLES,Kilogramos,975406,17735290.87
32,Argentina,6,BUENOS AIRES,LA ANGELITA,MAIZ HIBRIDOS SIMPLES,Kilogramos,2417935,47697648.36
32,Argentina,6,BUENOS AIRES,SALTO,MAIZ PISINGALLO,Kilogramos,930,23250.00
32,Argentina,6,BUENOS AIRES,GAHAN,MAIZ PISINGALLO/REVENTON HIBRIDO,Kilogramos,3586,64548.00
32,Argentina,6,BUENOS AIRES,BAHIA BLANCA,MAIZ VARIEDADES,Kilogramos,1417,28340.00
