provincia,localidad,nombreVulgar,unidad_id,unidadRendimiento,RotulosEmitidos,Unidades
BUENOS AIRES,OLAVARRIA,ACHICORIA,KG,Kilogramos,427,10675
BUENOS AIRES,HILARIO ASCASUBI,AGROPIRO ALARGADO,KG,Kilogramos,5846,120700
BUENOS AIRES,VILLALONGA,ALFALFA,KG,Kilogramos,39963,655594.16
BUENOS AIRES,16 DE JULIO,ARVEJA VARIEDAD,KG,Kilogramos,20278,858640
BUENOS AIRES,JUNIN,AVENA,KG,Kilogramos,31567,1262680
BUENOS AIRES,JUNIN,AVENA BLANCA VARIEDAD,KG,Kilogramos,66695,2694230
BUENOS AIRES,TRES SARGENTOS,AVENA FORRAJERA,KG,Kilogramos,700,24500
BUENOS AIRES,URQUIZA,AVENA SATIVA,KG,Kilogramos,3064,122560
BUENOS AIRES,MICAELA CASCALLARES,CEBADA CERVECERA,KG,Kilogramos,716971,29788780
BUENOS AIRES,CHACABUCO,CEBADA FORRAJERA,KG,Kilogramos,7329,205740
BUENOS AIRES,CARABELAS,CEBADILLA,KG,Kilogramos,1328,33200
BUENOS AIRES,ALFONSO,CEBADILLA CRIOLLA,KG,Kilogramos,63982,1620868.75
BUENOS AIRES,CORONEL SUAREZ,CEBADILLA INTERMEDIA,KG,Kilogramos,3308,82700
BUENOS AIRES,GENERAL ALVARADO,CEBADILLA PERENNE,KG,Kilogramos,6170,180695
BUENOS AIRES,VALDES,CENTENO,KG,Kilogramos,431,17240
BUENOS AIRES,GENERAL O BRIEN,COLZA-CANOLA HIBRIDO,KG,Kilogramos,6342,126840
BUENOS AIRES,PERGAMINO,FESTUCA,KG,Kilogramos,9340,176612.63
BUENOS AIRES,9 DE JULIO,FESTUCA ALTA,KG,Kilogramos,114464,1974249.73
BUENOS AIRES,CORONEL SUAREZ,FESTULOLIUM,KG,Kilogramos,3630,82550
BUENOS AIRES,CORONEL SUAREZ,GIRASOL HIBRIDO DE TRES LINEAS,KG,Kilogramos,17161,210238.3
BUENOS AIRES,HILARIO ASCASUBI,GIRASOL HIBRIDOS SIMPLES,KG,Kilogramos,464536,5476277
BUENOS AIRES,BALCARCE,LOLIUM PERENNE,KG,Kilogramos,756,18000.36
BUENOS AIRES,NECOCHEA,LOTUS CORNICULATUS,KG,Kilogramos,1269,30057
BUENOS AIRES,PERGAMINO,LOTUS TENUIS,KG,Kilogramos,2387,55404.92
BUENOS AIRES,GENERAL ALVARADO,MAIZ HIBRIDO SIMPLE MODIFICADO,KG,Kilogramos,1619,39525
BUENOS AIRES,BERDIER,MAIZ HIBRIDOS DE TRES LINEAS,KG,Kilogramos,32046,828553.2
BUENOS AIRES,LOBERIA,MAIZ HIBRIDOS DOBLES,KG,Kilogramos,574853,10367258.25
BUENOS AIRES,CORONEL SUAREZ,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,4158234,78344712.47
BUENOS AIRES,LOBERIA,MAIZ PISINGALLO/REVENTON HIBRIDO,KG,Kilogramos,4836,109680.48
BUENOS AIRES,JUNIN,MOHA,KG,Kilogramos,14320,572800
BUENOS AIRES,SAN CAYETANO,PAPA VARIEDAD,KG,Kilogramos,49335,23402437
BUENOS AIRES,MAR DEL PLATA,PAPA VARIEDAD,KG,Plantulas,992,132760
BUENOS AIRES,CASBAS,PASTO OVILLO,KG,Kilogramos,26046,447767.29
BUENOS AIRES,RAMOS OTERO,PHALARIS BULBOSA,KG,Kilogramos,628,15700
BUENOS AIRES,CORONEL VIDAL,RAIGRAS ANUAL,KG,Kilogramos,169927,4321165
BUENOS AIRES,PIERES,RAIGRAS ANUAL CESPED,KG,Kilogramos,1407,35175
BUENOS AIRES,FONTEZUELA,RAIGRAS HIBRIDO,KG,Kilogramos,1244,31100
BUENOS AIRES,9 DE JULIO,RAIGRAS PERENNE,KG,Kilogramos,45324,831052.38
BUENOS AIRES,LA NEGRA,SOJA,KG,Kilogramos,875809,44344375
BUENOS AIRES,CARMEN DE ARECO,SORGO FORRAJERO,KG,Kilogramos,12131,302370
BUENOS AIRES,ARRECIFES,SORGO FORRAJERO HIBRIDOS,KG,Kilogramos,28944,559092
BUENOS AIRES,ROJAS,SORGO GRANIFERO HIBRIDOS,KG,Kilogramos,57167,1146340
BUENOS AIRES,CASTILLA,SORGO SILERO,KG,Kilogramos,1691,33820
BUENOS AIRES,CORONEL VIDAL,TREBOL BLANCO,KG,Kilogramos,36150,749086.23
BUENOS AIRES,BARROW,TRIGO FIDEOS O CANDEAL VARIEDAD,KG,Kilogramos,163821,8062830
BUENOS AIRES,MAGUIRE,TRIGO PAN VARIEDADES,KG,Kilogramos,1731948,79653696
BUENOS AIRES,CHACABUCO,TRITICALE,KG,Kilogramos,10145,297500
BUENOS AIRES,CORONEL SUAREZ,VICIA VILLOSA ROTH,KG,Kilogramos,2720,68000
BUENOS AIRES,MERCEDES,ZAPALLITO REDONDO DE TRONCO VARIEDAD,KG,Kilogramos,960,769
CATAMARCA,LOS MOLLES (PUERTA GRANDE-DPTO. SAN,MAIZ HIBRIDO TRIPLE,KG,Kilogramos,50614,930185.1
CATAMARCA,PUERTA GRANDE,MAIZ HIBRIDOS DOBLES,KG,Kilogramos,218803,4122699.08
CATAMARCA,LOS ALTOS,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,411428,6890876.44
CATAMARCA,LOS ALTOS,SOJA,KG,Kilogramos,54847,2597080
CATAMARCA,LOS ALTOS,TRIGO PAN VARIEDADES,KG,Kilogramos,5000,200000
CHACO,GENERAL PINEDO,ALFALFA,KG,Kilogramos,19780,323410
CHACO,GENERAL JOSE DE SAN MARTIN,ALGODONERO,KG,Kilogramos,9367,281010
CHACO,SANTA SYLVINA,SOJA,KG,Kilogramos,376957,16507180
CHACO,CHARATA,TRIGO PAN VARIEDADES,KG,Kilogramos,15700,628000
CORDOBA,PAMPAYASTA NORTE,ALFALFA,KG,Kilogramos,8537,150017.37
CORDOBA,SINSACATE,AVENA,KG,Kilogramos,6842,273680
CORDOBA,VILLA ASCASUBI,AVENA BLANCA VARIEDAD,KG,Kilogramos,10154,406160
CORDOBA,JESUS MARIA,AVENA FORRAJERA,KG,Kilogramos,5128,205120
CORDOBA,LOS COMETIERRA,AVENA STRIGOSA,KG,Kilogramos,1214,48560
CORDOBA,LAS VERTIENTES,CEBADA CERVECERA,KG,Kilogramos,6160,246400
CORDOBA,LAS VERTIENTES,CEBADA FORRAJERA,KG,Kilogramos,3339,133560
CORDOBA,BELL VILLE,CENTENO,KG,Kilogramos,4500,180000
CORDOBA,CHAJAN,FESTUCA ALTA,KG,Kilogramos,2756,46163
CORDOBA,SIMBOLAR (DPTO. TOTORAL),GARBANZO,KG,Kilogramos,1628,279200
CORDOBA,LOS CISNES,GIRASOL HIBRIDOS SIMPLES,KG,Kilogramos,47061,568252
CORDOBA,PASO DEL DURAZNO,MAIZ HIBRIDOS DE TRES LINEAS,KG,Kilogramos,8920,178400
CORDOBA,LOS CISNES,MAIZ HIBRIDOS DOBLES,KG,Kilogramos,159124,2904274.39
CORDOBA,LA CAROLINA,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,503155,8525732.42
CORDOBA,HUINCA RENANCO,MANI,KG,Kilogramos,4106,2206750
CORDOBA,MONTE CRISTO,PAPA VARIEDAD,KG,Kilogramos,1022,6970
CORDOBA,CORDOBA,PAPA VARIEDAD,KG,Microplantulas,136,68000
CORDOBA,CORDOBA,PAPA VARIEDAD,KG,Plantulas,214,61600
CORDOBA,LAS ACEQUIAS,SOJA,KG,Kilogramos,667280,32206185
CORDOBA,CANALS,SORGO FORRAJERO,KG,Kilogramos,1970,49250
CORDOBA,CUATRO VIENTOS,SORGO FORRAJERO HIBRIDOS,KG,Kilogramos,95126,2286520
CORDOBA,ALEJO LEDESMA,SORGO GRANIFERO HIBRIDOS,KG,Kilogramos,32845,656900
CORDOBA,SANTA TERESA,TRIGO FIDEOS O CANDEAL VARIEDAD,KG,Kilogramos,11944,537520
CORDOBA,OLIVA,TRIGO PAN VARIEDADES,KG,Kilogramos,573439,25432140
CORDOBA,PASCO,TRITICALE,KG,Kilogramos,580,23200
CORDOBA,MONTE CRISTO,ZAPALLITO REDONDO DE TRONCO HIBRIDO,KG,Kilogramos,17283,5184.9
CORRIENTES,EL SOMBRERO,ARROZ,KG,Kilogramos,52296,2091840
CORRIENTES,MONTE CASEROS,RAIGRAS ANUAL,KG,Kilogramos,13565,339125
ENTRE RIOS,VILLAGUAY,ALFALFA,KG,Kilogramos,320,4000
ENTRE RIOS,WALTER MOSS,ARROZ,KG,Kilogramos,28813,1125470
ENTRE RIOS,RINCON DEL DOLL,ARVEJA VARIEDAD,KG,Kilogramos,931,37240
ENTRE RIOS,GILBERT,AVENA,KG,Kilogramos,5000,200000
ENTRE RIOS,HERRERA,CEBADILLA CRIOLLA,KG,Kilogramos,3730,110400
ENTRE RIOS,RINCON DEL DOLL,COLZA-CANOLA,KG,Kilogramos,500,10000
ENTRE RIOS,SAN SALVADOR,FESTUCA ALTA,KG,Kilogramos,17810,348149.76
ENTRE RIOS,LA PAZ,LINO,KG,Kilogramos,1300,52000
ENTRE RIOS,GUALEGUAY,LOTUS CORNICULATUS,KG,Kilogramos,822,20550
ENTRE RIOS,MACIA,LOTUS TENUIS,KG,Kilogramos,50,1250
ENTRE RIOS,VICTORIA,MAIZ HIBRIDOS DOBLES,KG,Kilogramos,8889,169517.65
ENTRE RIOS,VICTORIA,MAIZ HIBRIDOS SIMPLES,KG,Kilogramos,69040,1380080.5
ENTRE RIOS,URDINARRAIN,RAIGRAS ANUAL,KG,Kilogramos,111296,2583905
ENTRE RIOS,GALARZA,SOJA,KG,Kilogramos,203633,12251620
ENTRE RIOS,BASAVILBASO,TREBOL BLANCO,KG,Kilogramos,2833,64225
ENTRE RIOS,MACIA,TREBOL ROJO,KG,Kilogramos,42,1050
ENTRE RIOS,SAUCE PINTO,TRIGO PAN VARIEDADES,KG,Kilogramos,449552,22926400
ENTRE RIOS,GUALEGUAY,TRITICALE,KG,Kilogramos,3384,84600
LA PAMPA,AGUSTONI,ALFALFA,KG,Kilogramos,17524,347888.83
LA PAMPA,QUEMU-QUEMU,AVENA BLANCA VARIEDAD,KG,Kilogramos,801,32040
LA PAMPA,GENERAL PICO,CEBADA CERVECERA,KG,Kilogramos,12076,483040
