nombreVulgar,unidadRendimiento,rotulosEmitidos,Unidades
AGROPIRO ALARGADO,Kilogramos,21231,405461.00
ALFALFA,Kilogramos,103119,1816671.32
ALGODONERO,Kilogramos,54742,1640760.00
ARROZ,Kilogramos,234690,6897900.00
ARVEJA VARIEDAD,Kilogramos,56222,2348440.00
AVENA,Kilogramos,171492,6545895.00
AVENA AMARILLA,Kilogramos,1100,44000.00
AVENA BLANCA VARIEDAD,Kilogramos,164315,6424950.00
AVENA FORRAJERA,Kilogramos,61432,2150120.00
CEBADA CERVECERA,Kilogramos,1128972,49960750.00
CEBADA FORRAJERA,Kilogramos,30720,1109580.00
CEBADILLA,Kilogramos,2904,72600.00
CEBADILLA CRIOLLA,Kilogramos,78915,2050960.00
CEBADILLA DE HUNGRIA O PERENNE,Kilogramos,5711,142775.00
CEBADILLA INTERMEDIA,Kilogramos,9790,242750.00
CEBADILLA PERENNE,Kilogramos,4002,120060.00
CENTENO,Kilogramos,26745,1069800.00
COLZA-CANOLA,Kilogramos,405,8100.00
COLZA-CANOLA HIBRIDO,Kilogramos,7985,189625.00
FESTUCA,Kilogramos,1230,24600.00
FESTUCA ALTA,Kilogramos,111807,2245340.00
FESTULOLIUM,Kilogramos,1060,21200.00
FRUTILLA,Plantines,2572,2567900.00
GARBANZO,Kilogramos,7711,383850.00
GIRASOL CONFITURA HIBRIDO,Kilogramos,19321,151009.29
GIRASOL HIBRIDO DE TRES LINEAS,Kilogramos,2118,25416.00
GIRASOL HIBRIDO SIMPLE CONFITERO,Kilogramos,5187,67259.45
GIRASOL HIBRIDOS SIMPLES,Kilogramos,266086,2801948.68
GRAMA DE RHODES,Kilogramos,467,7005.00
LINO,Kilogramos,1487,59480.00
LOLIUM PERENNE,Kilogramos,1608,40200.00
LOTUS CORNICULATUS,Kilogramos,5114,119837.42
LOTUS TENUIS,Kilogramos,2646,53800.62
MAIZ HIBRIDO FORRAJERO,Kilogramos,7928,158560.00
MAIZ HIBRIDOS DE TRES LINEAS,Kilogramos,15017,327364.09
MAIZ HIBRIDOS DOBLES,Kilogramos,1714059,32256905.17
MAIZ HIBRIDOS SIMPLES,Kilogramos,4357072,85249305.67
MAIZ PISINGALLO,Kilogramos,930,23250.00
MAIZ PISINGALLO/REVENTON HIBRIDO,Kilogramos,3586,64548.00
MAIZ VARIEDADES,Kilogramos,11466,229320.00
MANI,Kilogramos,25692,4161350.00
MOHA,Kilogramos,16040,641600.00
PAPA VARIEDAD,Kilogramos,790273,37142099.60
PAPA VARIEDAD,Microplantulas,647,154200.00
PAPA VARIEDAD,Minituberculos,390,5070.00
PAPA VARIEDAD,Plantulas,385,252364.00
PASTO OVILLO,Kilogramos,31094,505754.50
PHALARIS AQUATICA L.,Kilogramos,65,1625.00
PHALARIS BULBOSA,Kilogramos,960,15840.00
POROTO VARIEDAD,Kilogramos,1613,80650.00
RAIGRAS ANUAL,Kilogramos,357233,8564820.00
RAIGRAS ANUAL CESPED,Kilogramos,6427,160675.00
RAIGRAS HIBRIDO,Kilogramos,2208,55200.00
RAIGRAS PERENNE,Kilogramos,76337,1637725.50
SOJA,Kilogramos,7509656,321030950.00
SOJA FORRAJERA VARIEDAD,Kilogramos,5444,136100.00
SORGO FORRAJERO,Kilogramos,25970,656880.00
SORGO FORRAJERO HIBRIDOS,Kilogramos,510414,11389023.00
SORGO GRANIFERO HIBRIDOS,Kilogramos,506827,10330316.60
SORGO SILERO,Kilogramos,906,18120.00
TREBOL BLANCO,Kilogramos,40285,896884.05
TREBOL ROJO,Kilogramos,60,1500.00
TRICEPIRO,Kilogramos,1200,48000.00
TRIGO FIDEOS O CANDEAL VARIEDAD,Kilogramos,245229,12111010.00
TRIGO PAN LINEA,Kilogramos,5695,227800.00
TRIGO PAN VARIEDADES,Kilogramos,3268832,137619580.00
TRITICALE,Kilogramos,25353,810615.00
ZAPALLO/ZAPALLITO REDONDO DE TRONCO HIBRIDO,Kilogramos,75095,23505.58
ZAPALLO/ZAPALLITO REDONDO DE TRONCO VARIEDAD,Kilogramos,15023,3055.36
