nombreVulgar,unidadRendimiento,rotulosEmitidos,Unidades
ACHICORIA,Kilogramos,52,1300.00
AGROPIRO ALARGADO,Kilogramos,9327,181329.54
ALFALFA,Kilogramos,109459,1988195.67
ALGODONERO,Kilogramos,83729,2505710.00
ARROZ,Kilogramos,137679,4704620.00
ARVEJA VARIEDAD,Kilogramos,4193,167720.00
AVENA,Kilogramos,103130,4061970.00
AVENA BLANCA VARIEDAD,Kilogramos,80947,3229380.00
AVENA SATIVA,Kilogramos,4781,191240.00
AVENA STRIGOSA,Kilogramos,3652,146080.00
CEBADA CERVECERA,Kilogramos,730974,31857540.00
CEBADA FORRAJERA,Kilogramos,9910,309040.00
CEBADILLA,Kilogramos,2052,51300.00
CEBADILLA CRIOLLA,Kilogramos,101355,2605600.00
CEBADILLA PERENNE,Kilogramos,3560,106800.00
CENTENO,Kilogramos,21587,863480.00
COLZA-CANOLA,Kilogramos,1292,25840.00
COLZA-CANOLA HIBRIDO,Kilogramos,1356,27120.00
FESTUCA,Kilogramos,3595,64875.00
FESTUCA ALTA,Kilogramos,117855,2317136.45
GARBANZO,Kilogramos,2110,200560.00
GIRASOL HIBRIDO DE TRES LINEAS,Kilogramos,23767,258055.00
GIRASOL HIBRIDO SIMPLE CONFITERO,Kilogramos,367,4660.00
GIRASOL HIBRIDOS SIMPLES,Kilogramos,650002,7096211.21
GRAMA DE RHODES,Kilogramos,1890,28350.00
LINO,Kilogramos,2000,80000.00
LOLIUM PERENNE,Kilogramos,810,20250.00
LOTUS CORNICULATUS,Kilogramos,4304,98626.16
LOTUS TENUIS,Kilogramos,2596,61597.36
MAIZ HIBRIDO FORRAJERO,Kilogramos,1140,18240.00
MAIZ HIBRIDO SIMPLE MODIFICADO,Kilogramos,5371,87354.00
MAIZ HIBRIDO TRIPLE,Kilogramos,3929,85601.90
MAIZ HIBRIDOS DE TRES LINEAS,Kilogramos,46387,1017261.72
MAIZ HIBRIDOS DOBLES,Kilogramos,855040,15536282.49
MAIZ HIBRIDOS SIMPLES,Kilogramos,6405562,122456309.67
MAIZ PISINGALLO,Kilogramos,1347,30543.00
MAIZ PISINGALLO/REVENTON HIBRIDO,Kilogramos,1907,34326.00
MAIZ VARIEDADES,Kilogramos,10442,220955.00
MANI,Kilogramos,33809,8398950.00
MOHA,Kilogramos,13956,558240.00
PAPA VARIEDAD,Kilogramos,259458,43936709.00
PAPA VARIEDAD,Microplantulas,1,300.00
PAPA VARIEDAD,Minituberculos,717,10854.00
PAPA VARIEDAD,Plantulas,1417,266885.00
PASTO OVILLO,Kilogramos,14869,280485.52
PHALARIS AQUATICA L.,Kilogramos,25,625.00
PHALARIS BULBOSA,Kilogramos,241,6025.00
POROTO VARIEDAD,Kilogramos,11594,521360.00
PORTAINJERTO DURAZNERO,Kilogramos,30,222.00
RAIGRAS ANUAL,Kilogramos,288088,7128510.00
RAIGRAS ANUAL CESPED,Kilogramos,1000,22700.00
RAIGRAS HIBRIDO,Kilogramos,2161,54025.00
RAIGRAS PERENNE,Kilogramos,31604,672092.08
SOJA,Kilogramos,6667780,304110755.00
SORGO FORRAJERO,Kilogramos,18561,432012.00
SORGO FORRAJERO HIBRIDOS,Kilogramos,277511,5783380.10
SORGO GRANIFERO HIBRIDOS,Kilogramos,233183,4711648.75
SORGO SILERO,Kilogramos,12306,246120.00
TREBOL BLANCO,Kilogramos,18193,388162.49
TRIGO FIDEOS O CANDEAL VARIEDAD,Kilogramos,184899,9117210.00
TRIGO PAN LINEA,Kilogramos,9232,369280.00
TRIGO PAN VARIEDADES,Kilogramos,4001457,173660660.00
TRITICALE,Kilogramos,16523,489800.00
VID,Planta,395,12625.00
VID,Yemas,61,6000.00
ZAPALLITO REDONDO DE TRONCO HIBRIDO,Kilogramos,64863,16864.38
ZAPALLITO REDONDO DE TRONCO VARIEDAD,Kilogramos,22927,8817.00
ZAPALLO/ZAPALLITO REDONDO DE TRONCO HIBRIDO,Kilogramos,30712,9503.84
