nombreVulgar,unidadRendimiento,rotulosEmitidos,Unidades
ACHICORIA,Kilogramos,477,11925.00
AGROPIRO ALARGADO,Kilogramos,5.846,120700.00
ALFALFA,Kilogramos,104.796,1894852.32
ALGODONERO,Kilogramos,66.915,2007450.00
ARROZ,Kilogramos,81.109,3217310.00
ARVEJA VARIEDAD,Kilogramos,22.519,948280.00
AVENA,Kilogramos,44.976,1799040.00
AVENA BLANCA VARIEDAD,Kilogramos,85.607,3450710.00
AVENA FORRAJERA,Kilogramos,5.828,229620.00
AVENA SATIVA,Kilogramos,3.064,122560.00
AVENA STRIGOSA,Kilogramos,1.214,48560.00
CEBADA CERVECERA,Kilogramos,746.420,30966740.00
CEBADA FORRAJERA,Kilogramos,13.168,439300.00
CEBADILLA,Kilogramos,1.328,33200.00
CEBADILLA CRIOLLA,Kilogramos,71.065,1805093.75
CEBADILLA INTERMEDIA,Kilogramos,3.308,82700.00
CEBADILLA PERENNE,Kilogramos,6.170,180695.00
CENTENO,Kilogramos,10.691,427640.00
COLZA-CANOLA,Kilogramos,500,10000.00
COLZA-CANOLA HIBRIDO,Kilogramos,6.342,126840.00
FESTUCA,Kilogramos,9.340,176612.63
FESTUCA ALTA,Kilogramos,135.030,2368562.49
FESTULOLIUM,Kilogramos,3.630,82550.00
GARBANZO,Kilogramos,12.346,815100.00
GIRASOL HIBRIDO DE TRES LINEAS,Kilogramos,17.161,210238.30
GIRASOL HIBRIDOS SIMPLES,Kilogramos,575.678,6789151.54
LINO,Kilogramos,1.300,52000.00
LOLIUM PERENNE,Kilogramos,756,18000.36
LOTUS CORNICULATUS,Kilogramos,2.091,50607.00
LOTUS TENUIS,Kilogramos,2.437,56654.92
MAIZ HIBRIDO SIMPLE MODIFICADO,Kilogramos,1.619,39525.00
MAIZ HIBRIDO TRIPLE,Kilogramos,50.614,930185.10
MAIZ HIBRIDOS DE TRES LINEAS,Kilogramos,40.966,1006953.20
MAIZ HIBRIDOS DOBLES,Kilogramos,1.006.787,18434257.29
MAIZ HIBRIDOS SIMPLES,Kilogramos,6.343.030,117194905.56
MAIZ PISINGALLO/REVENTON HIBRIDO,Kilogramos,4.836,109680.48
MAIZ VARIEDADES,Kilogramos,7.200,144000.00
MANI,Kilogramos,4.616,2818750.00
MOHA,Kilogramos,14.320,572800.00
PAPA VARIEDAD,Kilogramos,118.604,26361261.88
PAPA VARIEDAD,Microplantulas,148,80000.00
PAPA VARIEDAD,Plantulas,1.206,194360.00
PASTO OVILLO,Kilogramos,27.608,463387.29
PHALARIS BULBOSA,Kilogramos,628,15700.00
RAIGRAS ANUAL,Kilogramos,323.751,7936415.00
RAIGRAS ANUAL CESPED,Kilogramos,1.407,35175.00
RAIGRAS HIBRIDO,Kilogramos,1.244,31100.00
RAIGRAS PERENNE,Kilogramos,45.324,831052.38
SOJA,Kilogramos,3.249.641,157519785.00
SORGO FORRAJERO,Kilogramos,14.101,351620.00
SORGO FORRAJERO HIBRIDOS,Kilogramos,124.120,2846612.00
SORGO GRANIFERO HIBRIDOS,Kilogramos,146.773,2952690.00
SORGO SILERO,Kilogramos,1.691,33820.00
TREBOL BLANCO,Kilogramos,38.983,813311.23
TREBOL ROJO,Kilogramos,42,1050.00
TRICEPIRO,Kilogramos,570,22800.00
TRIGO FIDEOS O CANDEAL VARIEDAD,Kilogramos,211.583,10033070.00
TRIGO PAN VARIEDADES,Kilogramos,3.685.287,168193736.00
TRITICALE,Kilogramos,15.209,449300.00
VICIA VILLOSA ROTH,Kilogramos,2.720,68000.00
ZAPALLITO REDONDO DE TRONCO HIBRIDO,Kilogramos,28.683,8148.90
ZAPALLITO REDONDO DE TRONCO VARIEDAD,Kilogramos,15.016,3968.00
