cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1967,aceite de soja,t,tonelada,0,0,0,0,0,0,0,33,10,184,250,105
32,Argentina,1968,aceite de soja,t,tonelada,257,24,26,,62,56,336,66,30,354,212,524
32,Argentina,1969,aceite de soja,t,tonelada,103,0,0,0,0,115,569,650,288,125,427,29
32,Argentina,1970,aceite de soja,t,tonelada,385,0,45,0,0,198,365,972,488,642,190,254
32,Argentina,1971,aceite de soja,t,tonelada,136,90,250,138,492,531,560,403,918,775,644,518
32,Argentina,1972,aceite de soja,t,tonelada,286,395,286,,499,473,1203,1545,1466,971,350,335
32,Argentina,1973,aceite de soja,t,tonelada,550,115,331,72,1888,2436,3552,4331,3676,2368,2049,2909
32,Argentina,1974,aceite de soja,t,tonelada,2344,1945,1510,944,2434,2687,3165,5512,4642,6740,5694,3285
32,Argentina,1975,aceite de soja,t,tonelada,3001,4359,4501,4491,4641,9099,8293,11586,9087,12455,9106,6293
32,Argentina,1976,aceite de soja,t,tonelada,4793,6969,5375,5861,6644,7057,7335,7429,8067,8335,6049,6655
32,Argentina,1977,aceite de soja,t,tonelada,7309,4705,5269,5165,5945,7877,8053,7484,8102,10141,10287,11851
32,Argentina,1978,aceite de soja,t,tonelada,9315,6927,5297,5556,6346,7348,7133,12309,10804,12285,12598,9351
32,Argentina,1979,aceite de soja,t,tonelada,11001,8941,6820,1715,9894,15257,11936,10989,9344,10544,9277,8540
32,Argentina,1980,aceite de soja,t,tonelada,8952,7310,2409,6232,11491,13650,14092,12687,15179,13364,15447,10082
32,Argentina,1981,aceite de soja,t,tonelada,3741,4094,1227,5535,15405,17895,20281,23798,27625,24646,16141,8455
32,Argentina,1982,aceite de soja,t,tonelada,8627,6912,7521,5335,19500,28284,35429,31038,26671,33185,44874,29693
32,Argentina,1983,aceite de soja,t,tonelada,32764,21706,12932,11802,23275,30535,36548,38384,43890,37498,37239,40319
32,Argentina,1984,aceite de soja,t,tonelada,36407,27887,29445,26662,36665,44255,55634,61936,56372,62191,65661,54072
32,Argentina,1985,aceite de soja,t,tonelada,48881,40579,39625,22734,40005,63623,71127,65970,64151,68255,53947,36639
32,Argentina,1986,aceite de soja,t,tonelada,31151,33111,29115,29340,82426,89287,95462,90805,95802,71346,59883,43395
32,Argentina,1987,aceite de soja,t,tonelada,34379,25068,13847,36225,98126,117186,113707,114123,105199,72737,75922,50613
32,Argentina,1988,aceite de soja,t,tonelada,40860,20065,8070,40286,109229,128140,128827,142198,116823,126777,122069,87378
32,Argentina,1989,aceite de soja,t,tonelada,86944,75491,35514,23410,84914,106293,102455,82595,93979,95817,73499,65514
32,Argentina,1990,aceite de soja,t,tonelada,60055,73706,68051,75931,108080,124391,113678,115378,106085,118510,103194,76775
32,Argentina,1991,aceite de soja,t,tonelada,47282,63216,72821,83234,118029,123586,134031,135030,103448,123588,129885,97573
32,Argentina,1992,aceite de soja,t,tonelada,82165,78886,54525,53124,115634,121262,148446,158337,165112,167087,155712,101311
32,Argentina,1993,aceite de soja,t,tonelada,87757,63385,29657,76087,151500,172181,172399,175526,138180,153094,149335,97385
32,Argentina,1994,aceite de soja,t,tonelada,116531,105072,51216,70765,143516,161280,163135,156255,171330,159942,153445,88419
32,Argentina,1995,aceite de soja,t,tonelada,110708,80825,41202,76010,148662,147909,154858,168209,172415,169416,173332,155940
32,Argentina,1996,aceite de soja,t,tonelada,132638,107061,57870,102074,162495,180611,187581,205860,193058,194340,184894,129934
32,Argentina,1997,aceite de soja,t,tonelada,91083,63927,61951,144936,198061,211030,230004,232530,223192,197410,104729,109669
32,Argentina,1998,aceite de soja,t,tonelada,94768,45205,67073,209070,258785,275184,301437,301271,316731,293876,290317,242048
32,Argentina,1999,aceite de soja,t,tonelada,206022,146725,111439,251412,323791,325830,310728,330732,308496,303303,268298,206666
32,Argentina,2000,aceite de soja,t,tonelada,203534,154077,130811,295605,326545,287442,312263,327255,304962,274935,275097,220310
32,Argentina,2001,aceite de soja,t,tonelada,166423,65815,160450,322039,346182,327904,353636,360576,316476,339031,330849,298715
32,Argentina,2002,aceite de soja,t,tonelada,259574,163344,212056,303911,378701,374427,399897,408489,407351,404252,338426,322653
32,Argentina,2003,aceite de soja,t,tonelada,288495,255901,281940,372801,415190,411882,449069,421752,430929,454992,411270,364607
32,Argentina,2004,aceite de soja,t,tonelada,374317,264247,301091,416018,467369,446464,423518,403404,402173,397097,362409,311611
32,Argentina,2005,aceite de soja,t,tonelada,379267,342118,372559,429975,492244,493587,538851,487836,520780,457453,392245,488602
32,Argentina,2006,aceite de soja,t,tonelada,450637,372091,433878,559083,621581,564361,564473,518329,575626,495816,507544,497862
32,Argentina,2007,aceite de soja,t,tonelada,448917,358154,457221,579191,655713,619954,536923,578020,689428,685240,662868,690578
32,Argentina,2008,aceite de soja,t,tonelada,572158,422525,225854,532898,622533,364019,655838,574854,617324,530345,474681,431057
32,Argentina,2009,aceite de soja,t,tonelada,439692,391170,403028,605766,676150,568775,520647,422519,450445,463714,451442,379882
32,Argentina,2010,aceite de soja,t,tonelada,311975,269049,329026,706169,768335,685955,671955,728057,711687,695139,607618,515078
