cod_pais;nom_pais;año;producto;unidad_id;nom_unidad;enero;febrero;marzo ;abril;mayo;junio;julio;agosto;septiempre;octubre;noviembre;diciembre
32;Argentina;1967;pellets de soja;t;tonelada;0;0;0;0;0;0;0;150;42;820;1113;462
32;Argentina;1968;pellets de soja;t;tonelada;1182;93;172;0;315;308;1445;314;158;1697;958;2555
32;Argentina;1969;pellets de soja;t;tonelada;554;0;0;0;0;702;2502;2861;1136;497;1914;161
32;Argentina;1970;pellets de soja;t;tonelada;1661;0;203;0;0;996;1562;4290;2008;2806;891;1106
32;Argentina;1971;pellets de soja;t;tonelada;585;400;1015;590;2150;2644;2749;1734;4144;3431;3025;2246
32;Argentina;1972;pellets de soja;t;tonelada;1538;1850;1300;0;2437;2095;5391;6982;6385;4609;1628;1525
32;Argentina;1973;pellets de soja;t;tonelada;1961;590;1792;372;9707;15222;20518;22712;18472;13089;9375;13540
32;Argentina;1974;pellets de soja;t;tonelada;11557;8731;7368;5184;11424;13374;14813;23707;22640;30914;23136;14836
32;Argentina;1975;pellets de soja;t;tonelada;13331;19440;21325;19039;20461;39049;36388;50017;40841;53939;40655;27655
32;Argentina;1976;pellets de soja;t;tonelada;21190;31232;25223;26591;30815;35715;33868;35591;37912;42142;29834;34939
32;Argentina;1977;pellets de soja;t;tonelada;37216;23792;25429;24427;27803;35763;36238;33577;38376;48505;49391;57314
32;Argentina;1978;pellets de soja;t;tonelada;45413;34215;25349;28227;31890;38298;32537;60875;52324;57026;61428;46069
32;Argentina;1979;pellets de soja;t;tonelada;52036;42073;32457;8007;44443;70424;56368;51541;44372;50287;44858;41013
32;Argentina;1980;pellets de soja;t;tonelada;42012;34572;11493;27910;50298;60635;62044;55936;71023;61718;69294;49646
32;Argentina;1981;pellets de soja;t;tonelada;17141;18061;5876;25896;63259;81264;89906;109533;125753;116463;77506;39779
32;Argentina;1982;pellets de soja;t;tonelada;42370;30499;35641;23792;87155;132696;153222;155918;120936;155672;210969;141871
32;Argentina;1983;pellets de soja;t;tonelada;157530;103834;63606;56652;109647;148409;176584;189033;205010;182764;179643;193823
32;Argentina;1984;pellets de soja;t;tonelada;155429;136196;146130;122567;167806;206454;261070;285376;275921;295314;315220;248002
32;Argentina;1985;pellets de soja;t;tonelada;230760;191990;201678;103197;180369;286095;333624;311627;308046;324962;257027;176296
32;Argentina;1986;pellets de soja;t;tonelada;139658;151233;138923;136185;400976;422709;440575;441233;449898;334851;277122;204889
32;Argentina;1987;pellets de soja;t;tonelada;163366;111222;62767;169037;450686;540261;521319;531197;483520;333875;345021;231926
32;Argentina;1988;pellets de soja;t;tonelada;177354;86263;31392;176246;497602;593246;592431;664901;541944;584892;565731;413513
32;Argentina;1989;pellets de soja;t;tonelada;410566;341176;159213;102905;412066;483218;474537;389390;427258;442726;344084;302913
32;Argentina;1990;pellets de soja;t;tonelada;277922;335244;312142;344566;507590;583892;532378;547272;501940;560456;491627;357431
32;Argentina;1991;pellets de soja;t;tonelada;220990;314692;346704;386490;548848;576546;623645;627939;594419;566808;609766;448167
32;Argentina;1992;pellets de soja;t;tonelada;379408;364666;252830;243127;541736;580226;721449;749320;789712;776096;784451;478453
32;Argentina;1993;pellets de soja;t;tonelada;408755;299161;133404;332148;686286;780600;782388;789787;617162;684208;662459;427893
