cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo ,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1982,expellers de soja,t,tonelada,0,0,0,0,3736,0,0,8238,5336,3654,7506,825
32,Argentina,1983,expellers de soja,t,tonelada,3333,2704,0,0,0,4023,7881,3730,8856,8104,4365,3053
32,Argentina,1984,expellers de soja,t,tonelada,2595,1973,0,4235,10239,4590,11430,8513,5105,1529,3335,3862
32,Argentina,1985,expellers de soja,t,tonelada,3189,560,2948,2814,3540,9881,0,2580,0,415,3917,0
32,Argentina,1986,expellers de soja,t,tonelada,2202,150,0,0,0,191,743,926,1850,205,1171,1378
32,Argentina,1987,expellers de soja,t,tonelada,1345,1175,950,1214,1100,1792,4979,296,1635,1545,1723,1719
32,Argentina,1988,expellers de soja,t,tonelada,1378,1454,1791,1616,1787,1410,1660,1395,1222,1292,1624,1474
32,Argentina,1989,expellers de soja,t,tonelada,1285,16913,8743,6551,13625,15265,5998,1389,10419,1592,1389,1140
32,Argentina,1990,expellers de soja,t,tonelada,941,1861,1596,1759,1421,1661,1284,991,1670,1367,1537,1266
32,Argentina,1991,expellers de soja,t,tonelada,1831,964,1808,1774,2476,2070,2290,2027,1637,3227,3393,2362
32,Argentina,1992,expellers de soja,t,tonelada,3564,1591,2161,3960,5181,4117,3842,4855,4627,5498,5467,3990
32,Argentina,1993,expellers de soja,t,tonelada,5963,3885,4734,5092,3570,6596,4751,3266,3981,4156,4339,4153
32,Argentina,1994,expellers de soja,t,tonelada,2689,3674,2896,3303,4418,4237,3873,4861,4330,3669,6149,4139
32,Argentina,1995,expellers de soja,t,tonelada,3212,4263,5714,4828,6172,5393,4843,4934,4349,3120,3168,2960
32,Argentina,1996,expellers de soja,t,tonelada,2112,3253,3109,2793,5251,3162,2320,2215,2914,2428,3638,2373
32,Argentina,1997,expellers de soja,t,tonelada,1987,1831,3873,4204,4749,4222,4852,4978,4411,4097,3946,3812
32,Argentina,1998,expellers de soja,t,tonelada,4008,3617,4699,5617,5856,5890,5077,5807,5147,5495,5592,4495
32,Argentina,1999,expellers de soja,t,tonelada,4701,4592,3980,4453,6300,5732,4190,3965,3527,3072,3005,2333
32,Argentina,2000,expellers de soja,t,tonelada,3399,2324,3930,4162,4166,3842,4073,5116,4811,4458,5384,4782
32,Argentina,2001,expellers de soja,t,tonelada,3413,3267,3947,4656,4465,5288,5389,5316,5131,5237,4966,3932
32,Argentina,2002,expellers de soja,t,tonelada,2871,3811,5302,5138,6064,4917,5389,5460,5719,5548,5549,4673
32,Argentina,2003,expellers de soja,t,tonelada,5832,5144,5776,5577,5911,6399,6658,8084,7849,7795,6764,2063
32,Argentina,2004,expellers de soja,t,tonelada,5917,6395,5652,8200,8250,8995,8387,7931,6698,8808,8168,8454
32,Argentina,2005,expellers de soja,t,tonelada,8185,7912,8762,10071,10369,8660,11025,9050,9800,10705,11503,9125
32,Argentina,2006,expellers de soja,t,tonelada,10200,8981,9269,12148,12663,11584,11997,10563,13393,12232,10611,11832
32,Argentina,2007,expellers de soja,t,tonelada,8435,8708,11706,12969,15104,13104,11864,14963,16298,15793,16462,14151
32,Argentina,2008,expellers de soja,t,tonelada,13224,11997,13239,17501,17458,11290,12680,19653,14740,18479,16888,16363
32,Argentina,2009,expellers de soja,t,tonelada,16948,15926,17139,17083,16711,16939,18125,20895,21963,20135,23707,17621
32,Argentina,2010,expellers de soja,t,tonelada,17846,19139,22345,29720,29541,35863,36296,35335,34520,33256,30605,32695
32,Argentina,2011,expellers de soja,t,tonelada,26473,28950,26034,32569,32215,31033,33882,38561,40330,35838,36238,35263
32,Argentina,2012,expellers de soja,t,tonelada,30348,30452,38180,36104,39169,38513,37702,41555,33138,36683,31065,27435
32,Argentina,2013,expellers de soja,t,tonelada,28711,23628,28596,35679,32899,32105,43871,45558,41693,40599,36848,32644
32,Argentina,2014,expellers de soja,t,tonelada,38824,32143,35105,46206,51378,47063,50745,48029,52651,50474,45170,47256
32,Argentina,2015,expellers de soja,t,tonelada,49570,43758,50714,57363,63061,67326,67682,66628,65635,64596,51755,57336
32,Argentina,2016,expellers de soja,t,tonelada,60233,46943,50691,50240,53871,54771,55339,63288,61627,57280,51250,50711
32,Argentina,2017,expellers de soja,t,tonelada,50654,45133,55999,53394,64424,67430,67444,72648,61526,61267,61793,58578
32,Argentina,2018,expellers de soja,t,tonelada,55110,47886,51444,60010,60889,67702,69629,61420,58888,,,
