indice_tiempo,ingreso_soja_ind_aceitera,ingreso_soja_balanceadora,prod_aceite_soja,prod_expellers_soja,prod_pellets_soja
1967-01,0,,0,,0
1967-02,0,,0,,0
1967-03,0,,0,,0
1967-04,0,,0,,0
1967-05,0,,0,,0
1967-06,0,,0,,0
1967-07,0,,0,,0
1967-08,203,,33,,150
1967-09,62,,10,,42
1967-10,1125,,184,,820
1967-11,1390,,250,,1113
1967-12,620,,105,,462
1968-01,1421,,257,,1182
1968-02,141,,24,,93
1968-03,241,,26,,172
1968-04,12,,,,0
1968-05,426,,62,,315
1968-06,364,,56,,308
1968-07,1852,,336,,1445
1968-08,384,,66,,314
1968-09,228,,30,,158
1968-10,2226,,354,,1697
1968-11,1219,,212,,958
1968-12,3318,,524,,2555
1969-01,691,,103,,554
1969-02,0,,0,,0
1969-03,0,,0,,0
1969-04,0,,0,,0
1969-05,0,,0,,0
1969-06,875,,115,,702
1969-07,3291,,569,,2502
1969-08,3743,,650,,2861
1969-09,1466,,288,,1136
1969-10,670,,125,,497
1969-11,2495,,427,,1914
1969-12,231,,29,,161
1970-01,2162,,385,,1661
1970-02,0,,0,,0
1970-03,270,,45,,203
1970-04,0,,0,,0
1970-05,0,,0,,0
1970-06,1332,,198,,996
1970-07,2123,,365,,1562
1970-08,5744,,972,,4290
1970-09,2735,,488,,2008
1970-10,3965,,642,,2806
1970-11,1139,,190,,891
1970-12,1448,,254,,1106
1971-01,760,,136,,585
1971-02,520,,90,,400
1971-03,1318,,250,,1015
1971-04,755,,138,,590
1971-05,2874,,492,,2150
1971-06,3404,,531,,2644
1971-07,3448,,560,,2749
1971-08,2378,,403,,1734
1971-09,5437,,918,,4144
1971-10,4642,,775,,3431
1971-11,3850,,644,,3025
1971-12,2955,,518,,2246
1972-01,1960,,286,,1538
1972-02,2372,,395,,1850
1972-03,1675,,286,,1300
1972-04,0,,,,0
1972-05,3112,,499,,2437
1972-06,2800,,473,,2095
1972-07,7102,,1203,,5391
1972-08,9148,,1545,,6982
1972-09,8486,,1466,,6385
1972-10,5886,,971,,4609
1972-11,2077,,350,,1628
1972-12,1937,,335,,1525
1973-01,2621,,550,,1961
1973-02,753,,115,,590
1973-03,2189,,331,,1792
1973-04,450,,72,,372
1973-05,12353,,1888,,9707
1973-06,19275,,2436,,15222
1973-07,26826,,3552,,20518
1973-08,29468,,4331,,22712
1973-09,23715,,3676,,18472
1973-10,16420,,2368,,13089
1973-11,12660,,2049,,9375
1973-12,17744,,2909,,13540
1974-01,15020,,2344,,11557
1974-02,11411,,1945,,8731
1974-03,9339,,1510,,7368
1974-04,6435,,944,,5184
1974-05,14457,,2434,,11424
1974-06,17920,,2687,,13374
1974-07,19336,,3165,,14813
1974-08,33027,,5512,,23707
1974-09,29169,,4642,,22640
1974-10,40394,,6740,,30914
1974-11,30417,,5694,,23136
1974-12,19528,,3285,,14836
1975-01,17335,,3001,,13331
1975-02,25182,,4359,,19440
1975-03,27854,,4501,,21325
1975-04,25305,,4491,,19039
1975-05,26862,,4641,,20461
1975-06,50773,,9099,,39049
1975-07,47642,,8293,,36388
1975-08,64973,,11586,,50017
1975-09,52734,,9087,,40841
1975-10,70817,,12455,,53939
1975-11,53077,,9106,,40655
1975-12,35964,,6293,,27655
1976-01,26889,,4793,,21190
1976-02,40952,,6969,,31232
1976-03,33082,,5375,,25223
1976-04,23961,,5861,,26591
1976-05,39553,,6644,,30815
1976-06,44440,,7057,,35715
1976-07,44347,,7335,,33868
1976-08,45557,,7429,,35591
1976-09,48454,,8067,,37912
1976-10,53807,,8335,,42142
1976-11,39134,,6049,,29834
1976-12,44248,,6655,,34939
1977-01,47889,,7309,,37216
1977-02,31133,,4705,,23792
1977-03,33216,,5269,,25429
1977-04,31282,,5165,,24427
1977-05,35499,,5945,,27803
1977-06,45978,,7877,,35763
1977-07,47638,,8053,,36238
1977-08,43944,,7484,,33577
1977-09,50643,,8102,,38376
1977-10,63090,,10141,,48505
1977-11,64559,,10287,,49391
1977-12,73466,,11851,,57314
1978-01,57652,,9315,,45413
1978-02,42515,,6927,,34215
1978-03,32234,,5297,,25349
1978-04,36753,,5556,,28227
1978-05,42484,,6346,,31890
1978-06,48935,,7348,,38298
1978-07,41581,,7133,,32537
1978-08,75643,,12309,,60875
1978-09,66817,,10804,,52324
1978-10,76441,,12285,,57026
1978-11,77834,,12598,,61428
1978-12,59147,,9351,,46069
1979-01,66419,,11001,,52036
1979-02,53584,,8941,,42073
1979-03,40691,,6820,,32457
1979-04,10281,,1715,,8007
1979-05,57451,,9894,,44443
1979-06,91500,,15257,,70424
1979-07,71859,,11936,,56368
1979-08,64734,,10989,,51541
1979-09,56204,,9344,,44372
1979-10,64335,,10544,,50287
1979-11,57355,,9277,,44858
1979-12,52740,,8540,,41013
1980-01,53539,,8952,,42012
1980-02,43763,,7310,,34572
1980-03,14248,,2409,,11493
1980-04,35828,,6232,,27910
1980-05,64485,,11491,,50298
1980-06,78259,,13650,,60635
1980-07,82403,,14092,,62044
1980-08,75221,,12687,,55936
1980-09,91730,,15179,,71023
1980-10,82824,,13364,,61718
1980-11,91962,,15447,,69294
1980-12,63734,,10082,,49646
1981-01,21768,,3741,,17141
1981-02,24392,,4094,,18061
1981-03,7517,,1227,,5876
1981-04,34073,,5535,,25896
1981-05,84602,,15405,,63259
1981-06,102123,,17895,,81264
1981-07,136957,,20281,,89906
1981-08,136969,,23798,,109533
1981-09,160072,,27625,,125753
1981-10,147943,,24646,,116463
1981-11,97865,,16141,,77506
1981-12,57023,,8455,,39779
1982-01,56385,,8627,0,42370
1982-02,39282,,6912,0,30499
1982-03,44005,,7521,0,35641
1982-04,33479,,5335,0,23792
1982-05,117262,,19500,3736,87155
1982-06,167333,,28284,0,132696
1982-07,216697,,35429,0,153222
1982-08,230590,,31038,8238,155918
1982-09,157209,,26671,5336,120936
1982-10,195657,,33185,3654,155672
1982-11,286158,,44874,7506,210969
1982-12,191894,,29693,825,141871
1983-01,199761,,32764,3333,157530
1983-02,132912,,21706,2704,103834
1983-03,76749,,12932,0,63606
1983-04,66035,,11802,0,56652
1983-05,133055,,23275,0,109647
1983-06,189654,,30535,4023,148409
1983-07,234790,,36548,7881,176584
1983-08,239382,,38384,3730,189033
1983-09,265829,,43890,8856,205010
1983-10,235347,,37498,8104,182764
1983-11,233033,,37239,4365,179643
1983-12,248563,,40319,3053,193823
1984-01,202579,,36407,2595,155429
1984-02,169636,,27887,1973,136196
1984-03,180906,,29445,0,146130
1984-04,160783,,26662,4235,122567
1984-05,223167,,36665,10239,167806
1984-06,262533,,44255,4590,206454
1984-07,341681,,55634,11430,261070
1984-08,377904,,61936,8513,285376
1984-09,347561,,56372,5105,275921
1984-10,381667,,62191,1529,295314
1984-11,397478,,65661,3335,315220
1984-12,360960,,54072,3862,248002
1985-01,286890,,48881,3189,230760
1985-02,241467,,40579,560,191990
1985-03,237602,,39625,2948,201678
1985-04,133297,,22734,2814,103197
1985-05,241448,,40005,3540,180369
1985-06,383687,,63623,9881,286095
1985-07,424735,,71127,0,333624
1985-08,394788,,65970,2580,311627
1985-09,383652,,64151,0,308046
1985-10,407434,,68255,415,324962
1985-11,317093,,53947,3917,257027
1985-12,222459,,36639,0,176296
1986-01,179446,,31151,2202,139658
1986-02,188497,,33111,150,151233
1986-03,171752,,29115,0,138923
1986-04,178553,,29340,0,136185
1986-05,497282,,82426,0,400976
1986-06,522773,,89287,191,422709
1986-07,559334,,95462,743,440575
1986-08,551048,,90805,926,441233
1986-09,575725,,95802,1850,449898
1986-10,426224,,71346,205,334851
1986-11,351703,,59883,1171,277122
1986-12,253670,,43395,1378,204889
1987-01,200854,,34379,1345,163366
1987-02,141795,,25068,1175,111222
1987-03,85030,,13847,950,62767
1987-04,219655,,36225,1214,169037
1987-05,569503,,98126,1100,450686
1987-06,685393,,117186,1792,540261
1987-07,664534,,113707,4979,521319
1987-08,676583,,114123,296,531197
1987-09,614064,,105199,1635,483520
1987-10,427517,,72737,1545,333875
1987-11,441494,,75922,1723,345021
1987-12,293186,,50613,1719,231926
1988-01,224378,,40860,1378,177354
1988-02,110050,,20065,1454,86263
1988-03,43269,,8070,1791,31392
1988-04,227326,,40286,1616,176246
1988-05,637247,,109229,1787,497602
1988-06,742067,,128140,1410,593246
1988-07,742644,,128827,1660,592431
1988-08,831618,,142198,1395,664901
1988-09,677503,,116823,1222,541944
1988-10,731228,,126777,1292,584892
1988-11,704079,,122069,1624,565731
1988-12,524946,,87378,1474,413513
1989-01,513432,,86944,1285,410566
1989-02,439880,,75491,16913,341176
1989-03,197335,,35514,8743,159213
1989-04,136285,,23410,6551,102905
1989-05,531283,,84914,13625,412066
1989-06,620452,,106293,15265,483218
1989-07,598060,,102455,5998,474537
1989-08,478036,,82595,1389,389390
1989-09,542145,,93979,10419,427258
1989-10,550411,,95817,1592,442726
1989-11,425303,,73499,1389,344084
1989-12,376974,,65514,1140,302913
1990-01,344676,,60055,941,277922
1990-02,418038,,73706,1861,335244
1990-03,391093,,68051,1596,312142
1990-04,431489,,75931,1759,344566
1990-05,633546,,108080,1421,507590
1990-06,723979,,124391,1661,583892
1990-07,658661,,113678,1284,532378
1990-08,676110,,115378,991,547272
1990-09,616037,,106085,1670,501940
1990-10,690598,,118510,1367,560456
1990-11,610002,,103194,1537,491627
1990-12,440645,,76775,1266,357431
1991-01,275191,,47282,1831,220990
1991-02,395639,,63216,964,314692
1991-03,423368,,72821,1808,346704
1991-04,478492,,83234,1774,386490
1991-05,678421,,118029,2476,548848
1991-06,712611,,123586,2070,576546
1991-07,773120,,134031,2290,623645
1991-08,776963,,135030,2027,627939
1991-09,733912,,103448,1637,594419
1991-10,705557,,123588,3227,566808
1991-11,748875,,129885,3393,609766
1991-12,559671,,97573,2362,448167
1992-01,470621,,82165,3564,379408
1992-02,446286,,78886,1591,364666
1992-03,306680,,54525,2161,252830
1992-04,297745,,53124,3960,243127
1992-05,673422,,115634,5181,541736
