N° ORDEN ;NOMBRE VARIEDAD;AÑO VARIEDAD;VIGENCIA;Superficie Sembrada;Cantidad Productores;% Superficie;% Acumulado
1;BAGUETTE 620;2.017;S;1.037.837;10.748;21,71%;21,71%
2;PEHUEN;2.020;S;235.886;3.269;4,94%;26,65%
3;ALGARROBO;2.015;S;229.728;3.013;4,81%;31,46%
4;CEIBO;2.015;S;225.004;2.456;4,71%;36,16%
5;BAGUETTE 750;2.016;S;210.688;2.033;4,41%;40,57%
6;BAGUETTE 802;2.012;S;148.147;1.159;3,10%;43,67%
7;BASILIO;2.016;S;141.295;1.484;2,96%;46,63%
8;ÑANDUBAY;2.018;S;129.872;1.372;2,72%;49,34%
9;SAUCE;2.019;S;125.336;1.419;2,62%;51,97%
10;ACA 602;2.013;S;90.873;1.144;1,90%;53,87%
11;KLEIN NUTRIA;2.009;S;90.093;1.152;1,88%;55,75%
12;ALERCE;2.021;S;72.725;921;1,52%;57,27%
13;MS INTA 119;2.019;S;64.637;780;1,35%;58,63%
14;SY 211;2.015;S;62.270;665;1,30%;59,93%
15;ACA 360;2.013;S;60.416;613;1,26%;61,19%
16;KLEIN TAURO;2.005;S;59.410;739;1,24%;62,44%
17;SY 120;2.017;S;57.491;787;1,20%;63,64%
18;BUCK DESTELLO;2.017;S;56.717;460;1,19%;64,83%
19;CATALPA;2.021;N;54.017;1.018;1,13%;65,96%
20;ACA 315;2.006;S;44.444;518;0,93%;66,89%
21;CEDRO;2.013;S;43.256;470;0,91%;67,79%
22;BUCK METEORO;2.008;S;42.521;337;0,89%;68,68%
23;SRM NOGAL;2.006;S;42.163;493;0,88%;69,56%
24;KLEIN MINERVA;2.017;S;38.235;301;0,80%;70,36%
25;BAGUETTE 680;2.017;S;37.712;436;0,79%;71,15%
26;BAGUETTE 550;2.018;S;35.679;475;0,75%;71,90%
27;KLEIN POTRO;2.018;S;33.720;408;0,71%;72,60%
28;TBIO AUDAZ;2.019;S;33.593;411;0,70%;73,31%
29;TIMBO;2.013;S;32.218;243;0,67%;73,98%
30;KLEIN RAYO;2.010;S;30.896;258;0,65%;74,63%
31;GUAYABO;2.018;S;24.599;356;0,51%;75,14%
32;FRESNO;2.021;S;24.403;406;0,51%;75,65%
33;GINGKO;2.018;S;24.100;317;0,50%;76,16%
34;BUCK SAETA;2.015;S;23.646;352;0,49%;76,65%
35;CRONOX;2.005;S;22.085;172;0,46%;77,11%
36;BAGUETTE 10;1.999;N;21.560;296;0,45%;77,56%
37;BONAERENSE INTA CARILO;2.004;S;21.121;41;0,44%;78,01%
38;BIOINTA 1006;2.009;S;20.981;191;0,44%;78,45%
39;KLEIN GUERRERO;2.007;S;20.511;231;0,43%;78,87%
40;BAGUETTE PREMIUM 11;2.011;S;20.506;161;0,43%;79,30%
41;ACA 303;2.002;N;19.664;160;0,41%;79,71%
42;KLEIN ESCORPION;1.999;N;19.645;193;0,41%;80,13%
43;SY 200;2.010;S;18.729;230;0,39%;80,52%
44;BUCK COLIHUE;2.020;S;18.655;277;0,39%;80,91%
45;AROMO;2.021;N;18.563;312;0,39%;81,30%
46;BUCK GUAPO;2.000;N;18.340;178;0,38%;81,68%
47;KLEIN FAVORITO II;2.020;S;17.956;214;0,38%;82,06%
48;KLEIN CIEN AÑOS;2.019;S;16.546;214;0,35%;82,40%
49;TUC GRANIVO;1.994;N;16.092;38;0,34%;82,74%
50;LAPACHO;2.013;S;15.863;193;0,33%;83,07%
51;KLEIN LIEBRE;2.013;S;15.777;255;0,33%;83,40%
52;KLEIN CACIQUE;1.991;N;15.253;118;0,32%;83,72%
53;BUCK SUREÑO;2.000;N;15.236;106;0,32%;84,04%
54;BAGUETTE 820;2.021;S;14.972;203;0,31%;84,35%
55;365;2.018;S;14.594;167;0,31%;84,66%
56;KLEIN PROTEO;2.003;S;14.472;125;0,30%;84,96%
57;KLEIN VALOR;2.018;S;14.222;236;0,30%;85,26%
58;FUSTE;2.014;S;13.835;129;0,29%;85,55%
59;BAGUETTE 450;2.017;S;13.648;131;0,29%;85,83%
60;BUCK PERLA;2.019;S;13.444;108;0,28%;86,11%
